well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K63907145-001-01-9	5.02965070268274	DMSO
A02	BRD-K14597872-001-01-7	4.99807641916925	DMSO
A03	BRD-K03331449-001-01-8	5.02876156834849	DMSO
A04	BRD-K35193502-001-01-8	5.00018046317003	DMSO
A05	BRD-K86545229-001-01-9	5.03660463251651	DMSO
A06	BRD-K33218695-001-02-0	5.0181134148863205	DMSO
A07	BRD-K64840743-001-01-7	5.007689057771009	DMSO
A08	BRD-K11055147-001-01-8	5.02282479153644	DMSO
A09	BRD-K35441510-001-01-1	5.00163466918028	DMSO
A10	BRD-K54478142-001-01-5	5.26568901843822	DMSO
A11	BRD-K05357297-001-01-4	5.01077171526879	DMSO
A12	BRD-K72647169-001-01-1	5.02920339963372	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K95016030-001-01-9	5.0295703573032	DMSO
A16	BRD-K45172622-001-01-5	4.99995086185292	DMSO
A17	BRD-K24004917-001-01-9	5.027417420579639	DMSO
A18	BRD-K69269415-001-01-1	4.99131076544189	DMSO
A19	BRD-K47906308-001-01-5	5.01760350823161	DMSO
A20	BRD-K77627909-001-01-3	5.043448519047019	DMSO
A21	BRD-K02087489-001-01-8	5.04288606323858	DMSO
A22	BRD-K68312794-001-01-1	5.0285481825319405	DMSO
A23	BRD-K02299361-001-01-2	4.9977685566031305	DMSO
A24	BRD-K76457661-001-01-4	5.005266292633809	DMSO
B01	BRD-K67142650-001-01-6	5.03110318313694	DMSO
B02	BRD-K32056488-001-02-6	5.0045773088090995	DMSO
B03	BRD-K60272064-001-01-8	5.010546210920831	DMSO
B04	BRD-K16525290-001-01-0	5.02780474760625	DMSO
B05	BRD-K15343038-001-01-6	4.99968770606176	DMSO
B06	BRD-K18235559-001-01-0	4.99997707399354	DMSO
B07	BRD-K51322795-001-01-8	5.053392978313	DMSO
B08	BRD-K59821747-001-02-8	5.04252357567233	DMSO
B09	BRD-K41306114-001-01-8	5.00533232116311	DMSO
B10	BRD-K86961579-001-01-4	5.01117260044536	DMSO
B11	BRD-K18189580-001-01-2	5.03860034570442	DMSO
B12	BRD-K33177501-001-02-2	5.02459917443759	DMSO
B13			DMSO
B14			DMSO
B15	BRD-K84800135-001-01-3	5.00785118671152	DMSO
B16	BRD-K59159023-001-01-0	5.05743876029722	DMSO
B17	BRD-K84060528-001-01-9	4.98911111426733	DMSO
B18	BRD-K50935646-001-02-7	4.994641067730179	DMSO
B19	BRD-K97332312-001-01-7	5.034619479929179	DMSO
B20	BRD-K90519599-001-02-8	5.00920145568604	DMSO
B21	BRD-K45563993-001-01-6	4.99360599967558	DMSO
B22	BRD-K80954687-001-02-2	5.00148524785931	DMSO
B23	BRD-K96652989-001-01-1	5.00574110439216	DMSO
B24	BRD-K71987443-001-02-8	5.00944855324646	DMSO
C01	BRD-K96389533-001-01-1	4.99738071090419	DMSO
C02	BRD-K33221810-001-01-6	5.01575366224554	DMSO
C03	BRD-K81031146-001-01-5	5.00496327376065	DMSO
C04	BRD-K08614872-001-01-8	4.99440137829888	DMSO
C05	BRD-K48188521-001-01-0	5.013070994841129	DMSO
C06	BRD-K96807219-001-01-3	5.01842158161093	DMSO
C07	BRD-K30895360-001-01-4	5.00583190355051	DMSO
C08	BRD-K28795679-001-01-6	5.026106090959161	DMSO
C09	BRD-K25149224-001-01-9	5.0072509571522	DMSO
C10	BRD-K70145120-001-01-6	5.02409841197606	DMSO
C11			DMSO
C12			DMSO
C13	BRD-K27692586-001-01-8	5.00297678131272	DMSO
C14	BRD-K92358687-001-01-4	5.02775568570763	DMSO
C15			DMSO
C16			DMSO
C17	BRD-K32231853-001-01-4	5.0117482965563	DMSO
C18	BRD-K10452371-001-01-5	5.04157457861008	DMSO
C19	BRD-K01251033-001-01-2	5.00503132102339	DMSO
C20	BRD-K51978501-001-02-0	4.99577411065459	DMSO
C21	BRD-K81373254-001-01-9	5.00347156954438	DMSO
C22	BRD-K20142115-001-01-1	4.98791010260792	DMSO
C23	BRD-K09779858-001-01-6	5.03791373192254	DMSO
C24	BRD-K62852603-001-01-3	5.039947280440559	DMSO
D01	BRD-K56739005-001-01-4	5.01277322127261	DMSO
D02	BRD-K54837058-001-01-4	5.01158825965111	DMSO
D03	BRD-K25702540-001-01-2	5.026241773063	DMSO
D04	BRD-K69437108-001-01-6	5.0217049137993	DMSO
D05	BRD-K58248556-001-01-7	4.998507452834139	DMSO
D06	BRD-K15019832-001-01-0	5.04579144919608	DMSO
D07	BRD-K14124956-001-01-9	5.03120428969828	DMSO
D08	BRD-K33346587-001-01-2	5.0040885119555405	DMSO
D09	BRD-K37480258-001-01-3	5.01043302025996	DMSO
D10	BRD-K88385836-001-01-3	5.02835699374324	DMSO
D11			DMSO
D12			DMSO
D13	BRD-K33217094-001-01-1	5.0152600278396	DMSO
D14	BRD-K10481024-001-01-5	5.05158791363771	DMSO
D15			DMSO
D16			DMSO
D17	BRD-K63754039-001-01-4	5.03638966318121	DMSO
D18	BRD-K76997656-001-01-6	5.05171783201818	DMSO
D19	BRD-K47443098-001-01-3	5.02801093135084	DMSO
D20	BRD-K31275250-001-01-1	5.0307637728477195	DMSO
D21	BRD-K14673075-001-01-1	5.0337231489437	DMSO
D22	BRD-K79768278-001-01-6	5.04028899847022	DMSO
D23	BRD-K96377358-001-01-8	5.03157752745817	DMSO
D24	BRD-K46949676-001-01-0	5.17106571850805	DMSO
E01			DMSO
E02			DMSO
E03	BRD-K76803075-001-01-9	4.92025609773203	DMSO
E04	BRD-K59100858-001-01-4	5.00435058348199	DMSO
E05	BRD-A02501536-001-01-3	5.06083442116226	DMSO
E06	BRD-K98805845-001-01-7	5.03811289033994	DMSO
E07	BRD-K91799761-001-01-9	5.03895937584691	DMSO
E08	BRD-K52414345-001-01-7	5.010464601720781	DMSO
E09			DMSO
E10			DMSO
E11	BRD-K74626943-001-01-6	4.9966219100283205	DMSO
E12	BRD-K12705251-001-01-9	5.023367345838481	DMSO
E13	BRD-K68594161-001-01-9	5.03922556656203	DMSO
E14	BRD-K27653895-001-01-6	4.99942753947725	DMSO
E15	BRD-K95129711-001-01-6	5.0007956988204905	DMSO
E16	BRD-K77940693-001-01-0	4.996046555920531	DMSO
E17			DMSO
E18			DMSO
E19	BRD-K01754917-001-01-6	4.84624734173303	DMSO
E20	BRD-K76861469-001-01-1	5.017378893770429	DMSO
E21	BRD-K25761766-001-01-5	5.00548106598852	DMSO
E22	BRD-K85392418-001-01-8	5.01487424987341	DMSO
E23	BRD-K01554997-001-01-3	4.9934057736672095	DMSO
E24	BRD-K88670720-001-01-7	5.000535409116059	DMSO
F01			DMSO
F02			DMSO
F03	BRD-K59587063-001-01-3	5.074261567093691	DMSO
F04	BRD-K66253165-001-01-0	5.041544113937809	DMSO
F05	BRD-K78812892-001-01-9	5.0248418964749995	DMSO
F06	BRD-K36252987-001-01-5	5.01822261168158	DMSO
F07	BRD-K44152881-001-01-4	5.03660921932562	DMSO
F08	BRD-K65705295-001-01-3	5.0101324428306695	DMSO
F09			DMSO
F10			DMSO
F11	BRD-K85051145-001-01-0	5.01861087833289	DMSO
F12	BRD-K44866331-001-01-5	5.036253010984191	DMSO
F13	BRD-K84235037-001-01-1	5.000040070477639	DMSO
F14	BRD-K14359942-001-01-8	5.017583488827991	DMSO
F15	BRD-K78813464-001-01-5	5.02541410909238	DMSO
F16	BRD-K55393423-001-01-5	5.01272384183634	DMSO
F17			DMSO
F18			DMSO
F19	BRD-K07404651-001-01-2	5.00580346690864	DMSO
F20	BRD-K70380532-001-01-1	5.02708538495383	DMSO
F21	BRD-K56618252-001-01-0	4.993967770495161	DMSO
F22	BRD-K94082609-001-01-3	5.02502256778671	DMSO
F23	BRD-K46211110-001-01-9	5.02357319771647	DMSO
F24	BRD-K69038251-001-01-7	5.02175270275643	DMSO
G01	BRD-K01973494-001-01-3	5.0216271950265	DMSO
G02	BRD-K07734771-001-01-7	5.02299623616709	DMSO
G03			DMSO
G04			DMSO
G05	BRD-K13927197-001-01-5	4.99467297466083	DMSO
G06	BRD-K56957303-001-01-1	5.004422519188401	DMSO
G07	BRD-K32882942-001-01-7	5.03614914050164	DMSO
G08	BRD-K18208847-001-01-9	5.042232912993651	DMSO
G09	BRD-K32444429-001-01-8	5.0260827763543	DMSO
G10	BRD-K43205312-001-01-0	5.01382711266407	DMSO
G11	BRD-K54922310-001-01-8	5.02000694316965	DMSO
G12	BRD-K15690866-001-01-7	5.01633791439889	DMSO
G13	BRD-K93195215-001-01-0	5.02835728312061	DMSO
G14	BRD-K17231179-001-01-0	5.02898411618368	DMSO
G15	BRD-K77291765-001-01-1	5.0480249098009295	DMSO
G16	BRD-K68574010-001-01-4	5.0198822844415	DMSO
G17	BRD-K90625628-001-01-0	5.03769094908777	DMSO
G18	BRD-K84110809-001-01-2	5.00775644874097	DMSO
G19			DMSO
G20			DMSO
G21	BRD-K98535230-001-01-3	5.00151437857627	DMSO
G22	BRD-K89820077-001-01-6	5.02836748765874	DMSO
G23	BRD-K43603649-001-01-0	5.024421468879099	DMSO
G24	BRD-K28429328-001-01-7	5.0255271028367	DMSO
H01	BRD-K91467755-001-01-1	5.01362568563364	DMSO
H02	BRD-K15052303-001-01-1	5.00440292270465	DMSO
H03			DMSO
H04			DMSO
H05	BRD-K15602285-001-01-5	5.01152473557586	DMSO
H06	BRD-K63252672-001-01-1	5.0095453280363	DMSO
H07	BRD-K92356505-001-01-8	5.00507144035463	DMSO
H08	BRD-K70533557-001-01-5	5.04196194691363	DMSO
H09	BRD-K09258973-001-01-1	5.003625635479629	DMSO
H10	BRD-K82115725-001-01-4	4.984340363859911	DMSO
H11	BRD-K18887540-001-02-8	5.01987069938376	DMSO
H12	BRD-K69229416-001-01-4	4.981427936382019	DMSO
H13	BRD-K10130686-001-01-7	4.9274603480766395	DMSO
H14	BRD-K06181307-001-01-5	5.2714333048942805	DMSO
H15	BRD-K22718400-001-01-0	5.0039915652520195	DMSO
H16	BRD-K29028138-001-01-6	5.0472780051032196	DMSO
H17	BRD-K26641843-001-01-5	5.02844495618092	DMSO
H18	BRD-K19601332-001-01-6	4.997672789857759	DMSO
H19			DMSO
H20			DMSO
