well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02			DMSO
A03	BRD-A03925449-001-06-8	5.0	DMSO
A04	BRD-K09753654-001-06-6	5.0	DMSO
A05	BRD-K61680422-001-05-9	5.0	DMSO
A06	BRD-K37426855-001-06-2	5.0	DMSO
A07	BRD-K36858276-001-05-0	5.0	DMSO
A08	BRD-A74992649-001-05-2	5.0	DMSO
A09	BRD-K29977000-034-05-1	5.0	DMSO
A10	BRD-K22375870-001-04-4	5.0	DMSO
A11	BRD-A85811398-001-05-4	5.0	DMSO
A12	BRD-K44206907-001-05-9	5.0	DMSO
A13	BRD-K44472573-001-05-0	5.0	DMSO
A14	BRD-K52520502-001-05-1	5.0	DMSO
A15	BRD-A34301196-001-05-2	5.0	DMSO
A16	BRD-A30257315-001-06-4	5.0	DMSO
A17	BRD-K29581056-001-05-3	5.0	DMSO
A18	BRD-K08586435-001-05-9	5.0	DMSO
A19	BRD-K07505457-001-05-3	5.0	DMSO
A20	BRD-K30528364-001-05-8	5.0	DMSO
A21	BRD-A09279836-001-04-0	5.0	DMSO
A22	BRD-K67332226-001-05-9	5.0	DMSO
A23			DMSO
A24			DMSO
B01			DMSO
B02			DMSO
B03	BRD-K12052661-001-05-1	5.0	DMSO
B04	BRD-K50120401-001-05-4	5.0	DMSO
B05	BRD-K03225200-004-08-0	5.0	DMSO
B06	BRD-K32854385-001-03-6	5.0	DMSO
B07	BRD-K77480726-001-05-9	5.0	DMSO
B08	BRD-A96826680-003-05-2	5.0	DMSO
B09	BRD-K71904196-001-05-5	5.0	DMSO
B10	BRD-K26516932-001-05-2	5.0	DMSO
B11	BRD-A87899349-001-05-7	5.0	DMSO
B12	BRD-K65871716-001-05-5	5.0	DMSO
B13	BRD-K29793373-001-05-0	5.0	DMSO
B14	BRD-K47277196-001-05-7	5.0	DMSO
B15	BRD-K52002039-001-05-2	5.0	DMSO
B16	BRD-K88441166-001-05-5	5.0	DMSO
B17	BRD-K11819200-001-05-2	5.0	DMSO
B18	BRD-K85819329-001-06-7	5.0	DMSO
B19	BRD-A90994427-001-05-6	5.0	DMSO
B20	BRD-K62791766-001-05-7	5.0	DMSO
B21	BRD-K69047074-001-05-4	5.0	DMSO
B22	BRD-K11302672-003-06-2	5.0	DMSO
B23			DMSO
B24			DMSO
C01			DMSO
C02			DMSO
C03	BRD-K71952344-001-05-5	5.0	DMSO
