Original_Plate_Map_Name	well_position	broad_sample	conc_mmol
H-CBLC-007-4	A01	BRD-K48957279-001-01-2	4.936234769024044
H-CBLC-007-4	A02	BRD-K08820756-001-01-2	5.011328111042056
H-CBLC-007-4	A03	BRD-K01065567-001-01-0	5.028557124711342
H-CBLC-007-4	A04	BRD-K54320646-001-01-0	5.018043173513961
H-CBLC-007-4	A05	BRD-K18577063-001-01-4	5.021715910020162
H-CBLC-007-4	A06	BRD-K01465228-001-01-3	5.012542815530759
H-CBLC-007-4	A07	BRD-K14534316-001-01-4	5.044061262517588
H-CBLC-007-4	A08	BRD-K60479766-001-01-0	5.029087847378063
H-CBLC-007-4	A09	BRD-K02630067-001-01-5	4.994222038068434
H-CBLC-007-4	A10	BRD-K44051882-001-01-7	5.007951482245182
H-CBLC-007-4	A11	BRD-K57050180-001-01-2	5.003204854245683
H-CBLC-007-4	A12	BRD-K27172113-001-01-3	5.136908590121042
H-CBLC-007-4	A13		
H-CBLC-007-4	A14		
H-CBLC-007-4	A15	BRD-K95793811-001-01-8	5.006582503272618
H-CBLC-007-4	A16	BRD-K37905497-001-01-0	5.006702629551219
H-CBLC-007-4	A17	BRD-K10292006-001-01-8	5.017112324035899
H-CBLC-007-4	A18	BRD-K19137968-001-01-2	5.0280371642846236
H-CBLC-007-4	A19	BRD-K98437219-001-01-7	4.555048025976112
H-CBLC-007-4	A20	BRD-K96219823-001-01-9	5.0326978360618035
H-CBLC-007-4	A21	BRD-K98645774-001-01-2	5.008360237944654
H-CBLC-007-4	A22	BRD-K92043077-001-01-0	5.031877915986816
H-CBLC-007-4	A23	BRD-K35975131-001-01-7	5.033841066936576
H-CBLC-007-4	A24	BRD-K15676905-001-01-9	5.033580083170203
H-CBLC-007-4	B01	BRD-K91294486-001-01-5	5.0464110342925625
H-CBLC-007-4	B02	BRD-K09964242-001-01-9	4.99413300967451
H-CBLC-007-4	B03	BRD-K90894196-001-01-4	5.0367698068895805
H-CBLC-007-4	B04	BRD-K02248137-001-01-2	5.008974918358551
H-CBLC-007-4	B05	BRD-K89615341-001-01-0	5.279308009610792
H-CBLC-007-4	B06	BRD-K97965912-001-01-8	5.016814275873118
H-CBLC-007-4	B07	BRD-K76631152-001-01-0	5.2788041495399085
H-CBLC-007-4	B08	BRD-K50627341-001-01-0	4.991001898507353
H-CBLC-007-4	B09	BRD-K60387964-001-01-5	5.013387627761436
H-CBLC-007-4	B10	BRD-K40777138-001-01-3	5.015417727413014
H-CBLC-007-4	B11	BRD-K85270293-001-01-6	5.025821459639383
H-CBLC-007-4	B12	BRD-K77089907-001-01-8	4.995358160418173
H-CBLC-007-4	B13		
H-CBLC-007-4	B14		
H-CBLC-007-4	B15	BRD-K96956737-001-01-1	4.972982073814816
H-CBLC-007-4	B16	BRD-K28006752-001-01-8	5.022970472283168
H-CBLC-007-4	B17	BRD-K98849963-001-01-1	5.017302149833831
H-CBLC-007-4	B18	BRD-K70968200-001-01-4	5.0193088077195105
H-CBLC-007-4	B19	BRD-K13312254-001-01-0	5.021564545427345
H-CBLC-007-4	B20	BRD-K47675707-001-01-3	5.007980432303241
H-CBLC-007-4	B21	BRD-K73338579-001-01-0	4.623924717558216
H-CBLC-007-4	B22	BRD-K75528981-001-01-6	5.044954481902484
H-CBLC-007-4	B23	BRD-K89824635-001-01-3	5.022260655766011
H-CBLC-007-4	B24	BRD-K24727119-001-01-1	5.0150766423316835
H-CBLC-007-4	C01	BRD-K53624900-001-01-7	5.015164916900849
H-CBLC-007-4	C02	BRD-K89815866-001-01-1	5.027445924270603
H-CBLC-007-4	C03	BRD-K00702553-001-01-5	4.992125210486761
H-CBLC-007-4	C04	BRD-K62930716-001-01-1	5.021004989860413
H-CBLC-007-4	C05	BRD-K56772972-001-01-4	5.034666397319132
H-CBLC-007-4	C06	BRD-K46449123-001-01-0	4.991204128796299
H-CBLC-007-4	C07	BRD-K68281658-001-01-3	4.997326554969015
H-CBLC-007-4	C08	BRD-K43351931-001-01-3	5.003095719009062
H-CBLC-007-4	C09	BRD-K81551657-001-01-3	5.025150192866823
H-CBLC-007-4	C10	BRD-K49109646-001-01-5	5.056764374290636
H-CBLC-007-4	C11		
H-CBLC-007-4	C12		
H-CBLC-007-4	C13	BRD-K68312902-001-01-0	5.02537555617668
H-CBLC-007-4	C14	BRD-K91078372-001-01-9	5.025322246571511
H-CBLC-007-4	C15		
H-CBLC-007-4	C16		
H-CBLC-007-4	C17	BRD-K92478944-001-01-9	4.991160146561891
H-CBLC-007-4	C18	BRD-K34922955-001-01-3	5.021714703648432
H-CBLC-007-4	C19	BRD-K67866268-001-01-4	4.998664997953105
H-CBLC-007-4	C20	BRD-K92682487-001-01-9	5.019129600809517
H-CBLC-007-4	C21	BRD-K30585686-001-01-8	5.00660292307238
H-CBLC-007-4	C22	BRD-K51796593-001-01-7	5.014659880555243
H-CBLC-007-4	C23	BRD-K91321198-001-01-5	4.987522227450323
H-CBLC-007-4	C24	BRD-K07678613-001-01-8	5.02969469117007
H-CBLC-007-4	D01	BRD-K30964799-001-01-9	5.011290213739527
H-CBLC-007-4	D02	BRD-K00914226-001-01-3	5.021591782162476
H-CBLC-007-4	D03	BRD-K95946433-001-01-0	5.048809407618871
H-CBLC-007-4	D04	BRD-K92894683-001-01-2	4.990170186771385
H-CBLC-007-4	D05	BRD-K02332779-001-01-7	5.0377027608664
H-CBLC-007-4	D06	BRD-K66518476-001-01-0	5.0303400871298
H-CBLC-007-4	D07	BRD-K47629116-001-01-5	5.009585553296736
H-CBLC-007-4	D08	BRD-K06444139-001-01-1	5.025830337550105
H-CBLC-007-4	D09	BRD-K15330604-001-01-7	5.105102570742906
H-CBLC-007-4	D10	BRD-K81224183-001-01-0	4.986320766804612
H-CBLC-007-4	D11		
H-CBLC-007-4	D12		
H-CBLC-007-4	D13	BRD-K02480217-001-01-4	5.022816615497134
H-CBLC-007-4	D14	BRD-K30026130-001-01-5	5.0159378673758805
H-CBLC-007-4	D15		
H-CBLC-007-4	D16		
H-CBLC-007-4	D17	BRD-K71340039-001-01-2	5.029925698224999
H-CBLC-007-4	D18	BRD-K10139498-001-01-6	5.026615592633192
H-CBLC-007-4	D19	BRD-K61313778-001-01-6	5.004270204456005
H-CBLC-007-4	D20	BRD-K87024306-001-01-0	4.995168958029151
H-CBLC-007-4	D21	BRD-K67703656-001-01-9	5.039503841028879
H-CBLC-007-4	D22	BRD-K61947065-001-01-3	5.030724126779461
H-CBLC-007-4	D23	BRD-K53886241-001-01-0	4.991780288647746
H-CBLC-007-4	D24	BRD-K54200040-001-01-6	5.037193513759541
H-CBLC-007-4	E01		
H-CBLC-007-4	E02		
H-CBLC-007-4	E03	BRD-K34573361-001-01-2	5.015185832446712
H-CBLC-007-4	E04	BRD-K22663366-001-01-0	5.04501168399659
H-CBLC-007-4	E05	BRD-K38373222-001-01-2	5.024696013297774
H-CBLC-007-4	E06	BRD-K69967147-001-01-5	5.036279179367238
H-CBLC-007-4	E07	BRD-K68479950-001-01-8	5.004812814494881
H-CBLC-007-4	E08	BRD-K42692167-001-01-6	5.003006195742074
H-CBLC-007-4	E09		
H-CBLC-007-4	E10		
H-CBLC-007-4	E11	BRD-K85084982-001-01-7	5.000270873009656
H-CBLC-007-4	E12	BRD-K27732957-001-01-3	5.016339385534454
H-CBLC-007-4	E13	BRD-K78648432-001-01-4	4.922039872835526
H-CBLC-007-4	E14	BRD-K02507754-001-01-3	5.015078812620411
H-CBLC-007-4	E15	BRD-K59131057-001-01-8	5.040196860699552
H-CBLC-007-4	E16	BRD-K53573182-001-01-5	4.887635043761995
H-CBLC-007-4	E17		
H-CBLC-007-4	E18		
H-CBLC-007-4	E19	BRD-K85347477-001-01-0	5.022492054231426
H-CBLC-007-4	E20	BRD-K95971121-001-01-5	5.027771782533411
H-CBLC-007-4	E21	BRD-K74268052-001-01-4	5.082956477992403
