Original_Plate_Map_Name	well_position	broad_sample	conc_mmol
C-2113-01-D39-012	A01		
C-2113-01-D39-012	A02		
C-2113-01-D39-012	A03	BRD-K58665933-001-06-5	5.0
C-2113-01-D39-012	A04	BRD-K14750527-001-07-8	5.0
C-2113-01-D39-012	A05	BRD-K58826199-001-05-4	5.0
C-2113-01-D39-012	A06	BRD-K83609118-001-05-1	5.0
C-2113-01-D39-012	A07	BRD-A30907050-001-07-1	5.0
C-2113-01-D39-012	A08	BRD-K98154140-001-05-3	5.0
C-2113-01-D39-012	A09	BRD-K74221467-001-05-3	5.0
C-2113-01-D39-012	A10	BRD-K97503114-001-05-4	5.0
C-2113-01-D39-012	A11	BRD-A99639428-001-05-7	5.0
C-2113-01-D39-012	A12	BRD-A54970395-001-05-8	5.0
C-2113-01-D39-012	A13	BRD-K27791603-001-05-8	5.0
C-2113-01-D39-012	A14	BRD-K71089100-001-05-0	5.0
C-2113-01-D39-012	A15	BRD-K26838048-001-07-7	5.0
C-2113-01-D39-012	A16	BRD-K06961060-001-05-8	5.0
C-2113-01-D39-012	A17	BRD-K86074537-001-05-8	5.0
C-2113-01-D39-012	A18	BRD-K44812364-001-05-0	5.0
C-2113-01-D39-012	A19	BRD-K26424592-001-05-0	5.0
C-2113-01-D39-012	A20	BRD-K96385839-001-05-1	5.0
C-2113-01-D39-012	A21	BRD-A36141702-001-06-5	5.0
C-2113-01-D39-012	A22	BRD-K53993052-001-05-3	5.0
C-2113-01-D39-012	A23		
C-2113-01-D39-012	A24		
C-2113-01-D39-012	B01		
C-2113-01-D39-012	B02		
C-2113-01-D39-012	B03	BRD-K73857162-001-06-1	5.0
C-2113-01-D39-012	B04	BRD-K83572617-001-05-7	5.0
C-2113-01-D39-012	B05	BRD-K95689834-001-06-0	5.0
C-2113-01-D39-012	B06	BRD-K75838157-001-06-6	5.0
C-2113-01-D39-012	B07	BRD-K53829711-001-05-2	5.0
C-2113-01-D39-012	B08	BRD-K39170655-001-05-8	5.0
C-2113-01-D39-012	B09	BRD-K56566959-001-05-8	5.0
C-2113-01-D39-012	B10	BRD-K31788464-001-05-6	5.0
C-2113-01-D39-012	B11	BRD-K88387273-001-05-0	5.0
C-2113-01-D39-012	B12	BRD-A46044001-003-05-5	5.0
C-2113-01-D39-012	B13	BRD-K12134293-001-05-3	5.0
C-2113-01-D39-012	B14	BRD-A20951169-001-05-3	5.0
C-2113-01-D39-012	B15	BRD-A82925153-001-05-0	5.0
C-2113-01-D39-012	B16	BRD-K41845062-001-06-6	5.0
C-2113-01-D39-012	B17	BRD-K29812820-001-07-3	5.0
C-2113-01-D39-012	B18	BRD-K98538070-001-06-9	5.0
C-2113-01-D39-012	B19	BRD-A21023809-001-05-6	5.0
C-2113-01-D39-012	B20	BRD-K47210188-001-05-8	5.0
C-2113-01-D39-012	B21	BRD-K06223907-001-06-8	5.0
C-2113-01-D39-012	B22	BRD-K78701426-001-06-8	5.0
C-2113-01-D39-012	B23		
C-2113-01-D39-012	B24		
C-2113-01-D39-012	C01		
C-2113-01-D39-012	C02		
C-2113-01-D39-012	C03	BRD-K10182157-001-06-7	5.0
C-2113-01-D39-012	C04	BRD-K30586672-001-06-1	5.0
C-2113-01-D39-012	C05	BRD-K94683388-001-05-6	5.0
C-2113-01-D39-012	C06	BRD-K46769311-001-06-2	5.0
C-2113-01-D39-012	C07	BRD-K45681478-001-09-3	5.0
C-2113-01-D39-012	C08	BRD-K01356889-001-05-5	5.0
C-2113-01-D39-012	C09	BRD-A16737060-001-05-2	5.0
C-2113-01-D39-012	C10	BRD-K98531780-001-05-7	5.0
C-2113-01-D39-012	C11	BRD-K38697614-001-06-9	5.0
C-2113-01-D39-012	C12	BRD-K01655314-001-05-5	5.0
C-2113-01-D39-012	C13	BRD-K88480566-001-05-9	5.0
C-2113-01-D39-012	C14	BRD-K61048870-001-05-6	5.0
C-2113-01-D39-012	C15	BRD-A70929655-001-05-9	5.0
C-2113-01-D39-012	C16	BRD-K47390060-001-06-9	5.0
C-2113-01-D39-012	C17	BRD-K02569961-001-05-3	5.0
C-2113-01-D39-012	C18	BRD-K10891398-001-05-4	5.0
C-2113-01-D39-012	C19	BRD-K29098242-001-04-6	5.0
C-2113-01-D39-012	C20	BRD-K61827190-001-05-6	5.0
C-2113-01-D39-012	C21	BRD-K92758664-001-05-3	5.0
C-2113-01-D39-012	C22	BRD-K69610429-001-05-1	5.0
C-2113-01-D39-012	C23		
C-2113-01-D39-012	C24		
