well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02			DMSO
A03	BRD-A05083276-001-06-2	5.0	DMSO
A04	BRD-K12782798-001-05-9	5.0	DMSO
A05	BRD-K29697209-001-05-3	5.0	DMSO
A06	BRD-K96711684-001-07-0	5.0	DMSO
A07	BRD-K34526507-001-05-6	5.0	DMSO
A08	BRD-K51215204-001-06-8	5.0	DMSO
A09	BRD-K35038394-001-05-7	5.0	DMSO
A10	BRD-K79246618-001-09-5	5.0	DMSO
A11	BRD-K67619511-001-05-3	5.0	DMSO
A12	BRD-K58679021-001-05-1	5.0	DMSO
A13	BRD-A59804189-001-05-4	5.0	DMSO
A14	BRD-A72713024-001-05-9	5.0	DMSO
A15	BRD-K44849349-001-05-2	5.0	DMSO
A16	BRD-K84115730-001-05-6	5.0	DMSO
A17	BRD-A31650268-001-05-8	5.0	DMSO
A18	BRD-K49257800-001-05-5	5.0	DMSO
A19	BRD-K66650250-001-05-4	5.0	DMSO
A20	BRD-K41727577-001-05-6	5.0	DMSO
A21	BRD-K46915789-001-05-6	5.0	DMSO
A22	BRD-K53315710-001-05-3	5.0	DMSO
A23			DMSO
A24			DMSO
B01			DMSO
B02			DMSO
B03	BRD-K75874680-001-05-9	5.0	DMSO
B04	BRD-K16737809-001-05-6	5.0	DMSO
B05	BRD-K44973649-001-05-7	5.0	DMSO
B06	BRD-A87909953-003-05-7	5.0	DMSO
B07	BRD-K74009522-001-05-5	5.0	DMSO
B08	BRD-A54950948-001-06-0	5.0	DMSO
B09	BRD-K06110588-001-05-5	5.0	DMSO
B10	BRD-K56679803-001-05-7	5.0	DMSO
B11	BRD-A32325811-001-05-8	5.0	DMSO
B12	BRD-K02247990-001-05-1	5.0	DMSO
B13	BRD-A49197143-001-06-9	5.0	DMSO
B14	BRD-K09287266-001-05-7	5.0	DMSO
B15	BRD-K71688948-001-05-5	5.0	DMSO
B16	BRD-K33855136-001-05-9	5.0	DMSO
B17	BRD-K43454581-001-05-9	5.0	DMSO
B18	BRD-K74016717-001-05-5	5.0	DMSO
B19	BRD-K58481857-001-04-4	5.0	DMSO
B20	BRD-K11233651-001-05-0	5.0	DMSO
B21	BRD-A63464390-001-05-6	5.0	DMSO
B22	BRD-K09718177-001-05-9	5.0	DMSO
B23			DMSO
B24			DMSO
C01			DMSO
C02			DMSO
C03	BRD-A79846938-001-06-3	5.0	DMSO
