well_position	broad_sample	conc_mmol
A01	BRD-K62106945-001-01-1	5.015595658484636
A02	BRD-K71337947-001-01-9	4.944711906531197
A03	BRD-K40694355-001-01-6	4.530164202510665
A04	BRD-K59191656-001-01-7	5.227903636330808
A05	BRD-K61499353-001-01-6	5.020977163712011
A06	BRD-K63602071-001-01-4	5.003301834317981
A07	BRD-K49597140-001-01-2	5.315405475580918
A08	BRD-K53183074-001-01-4	5.0038951647876
A09	BRD-K54589358-001-01-8	4.957484971725122
A10	BRD-K45723650-001-01-0	5.022823064403113
A11	BRD-K44341698-001-01-6	5.022958050241983
A12	BRD-K98240084-001-01-7	5.179809967055262
A13		
A14		
A15	BRD-K94694331-001-01-0	4.846510963083093
A16	BRD-K09301754-001-01-4	5.025912111713574
A17	BRD-K68368772-001-01-9	4.955940703946764
A18	BRD-K25566775-001-01-7	5.089664897467407
A19	BRD-K72066167-001-01-6	5.024518540077703
A20	BRD-K03864628-001-01-1	5.049400745371022
A21	BRD-K26666618-001-01-5	5.0322937015496345
A22	BRD-K57054528-001-01-5	5.004443606384233
A23	BRD-K86631008-001-01-4	4.973709390480263
A24	BRD-K49434056-001-01-0	4.942530296747804
B01	BRD-K17834240-001-01-6	5.004545902421665
B02	BRD-K40509566-001-01-1	4.960860650158847
B03	BRD-K06532738-001-01-8	4.9975820640897926
B04	BRD-K58180017-001-01-5	4.9756153035528925
B05	BRD-K38289428-001-01-2	5.062111255666005
B06	BRD-K10821756-001-01-6	4.98065383115001
B07	BRD-K68682056-001-01-0	5.015971233746491
B08	BRD-K77106209-001-01-5	5.134771005773619
B09	BRD-K59704843-001-01-1	5.057329081527852
B10	BRD-K26785978-001-01-7	5.069451683379412
B19	BRD-K82502275-001-01-7	5.1612121459942255
B20	BRD-K56719502-001-01-4	5.04142272807372
B21	BRD-K61825138-001-01-4	5.014611567407273
B22	BRD-K60011163-001-01-0	4.994401529898205
B23	BRD-K74458364-001-01-4	5.056238692351886
B24	BRD-K65778372-001-01-6	4.946114289420081
C01	BRD-K86979665-001-01-1	5.163879581888607
C02	BRD-K01326303-001-01-5	5.295116300544337
C03	BRD-K90830329-001-01-8	5.0539810144394774
C04	BRD-K62836687-001-01-5	4.998203044628155
C05	BRD-K81543190-001-01-4	4.97340088820332
C06	BRD-K23396987-001-01-5	5.070548421377548
C07	BRD-K96634415-001-01-3	5.056943005274513
C08	BRD-K69845975-001-01-0	4.909359688522681
C09	BRD-K88187036-001-01-1	5.018899897567795
C10	BRD-K76988892-001-01-9	5.04403557345257
C11		
C12		
C13	BRD-K70783031-001-01-2	5.109775704172971
C14	BRD-K22387508-001-01-5	5.016682625712388
C15		
C16		
C17	BRD-K71346068-001-01-3	4.985946817418723
C18	BRD-K64537516-001-01-4	5.272700896317769
C19	BRD-K13891716-001-01-5	5.021573144075223
C20	BRD-K65730939-001-01-3	5.141194024329725
D13	BRD-K61533941-001-01-1	5.012360021216943
D14	BRD-K16121755-001-01-6	5.020078121185333
D15		
D16		
D17	BRD-K29326878-001-01-8	5.04968314304945
D18	BRD-K89952884-001-01-0	4.985895440179961
D19	BRD-K75383594-001-01-5	5.0182187106886005
D20	BRD-K87304811-001-01-4	5.007841914347226
D21	BRD-K33057338-001-01-7	4.9516906117133255
E05	BRD-K58469266-001-01-0	5.03403448941663
E06	BRD-K11468724-001-01-4	4.957648810439097
