well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K48957279-001-01-2	4.93623476902404	DMSO
A02	BRD-K08820756-001-01-2	5.01132811104206	DMSO
A03	BRD-K01065567-001-01-0	5.02855712471134	DMSO
A04	BRD-K54320646-001-01-0	5.01804317351396	DMSO
A05	BRD-K18577063-001-01-4	5.02171591002016	DMSO
A06	BRD-K01465228-001-01-3	5.01254281553076	DMSO
A07	BRD-K14534316-001-01-4	5.04406126251759	DMSO
A08	BRD-K60479766-001-01-0	5.02908784737806	DMSO
A09	BRD-K02630067-001-01-5	4.99422203806843	DMSO
A10	BRD-K44051882-001-01-7	5.007951482245179	DMSO
A11	BRD-K57050180-001-01-2	5.00320485424568	DMSO
A12	BRD-K27172113-001-01-3	5.13690859012104	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K95793811-001-01-8	5.00658250327262	DMSO
A16	BRD-K37905497-001-01-0	5.00670262955122	DMSO
A17	BRD-K10292006-001-01-8	5.0171123240359	DMSO
A18	BRD-K19137968-001-01-2	5.02803716428462	DMSO
A19	BRD-K98437219-001-01-7	4.55504802597611	DMSO
A20	BRD-K96219823-001-01-9	5.032697836061799	DMSO
A21	BRD-K98645774-001-01-2	5.00836023794465	DMSO
A22	BRD-K92043077-001-01-0	5.03187791598681	DMSO
A23	BRD-K35975131-001-01-7	5.03384106693658	DMSO
A24	BRD-K15676905-001-01-9	5.0335800831702	DMSO
B01	BRD-K91294486-001-01-5	5.04641103429256	DMSO
B02	BRD-K09964242-001-01-9	4.99413300967451	DMSO
B03	BRD-K90894196-001-01-4	5.03676980688958	DMSO
B04	BRD-K02248137-001-01-2	5.00897491835855	DMSO
B05	BRD-K89615341-001-01-0	5.27930800961079	DMSO
B06	BRD-K97965912-001-01-8	5.01681427587312	DMSO
B07	BRD-K76631152-001-01-0	5.27880414953991	DMSO
B08	BRD-K50627341-001-01-0	4.991001898507349	DMSO
B09	BRD-K60387964-001-01-5	5.01338762776144	DMSO
B10	BRD-K40777138-001-01-3	5.01541772741301	DMSO
B11	BRD-K85270293-001-01-6	5.0258214596393795	DMSO
B12	BRD-K77089907-001-01-8	4.99535816041817	DMSO
B13			DMSO
B14			DMSO
B15	BRD-K96956737-001-01-1	4.97298207381482	DMSO
B16	BRD-K28006752-001-01-8	5.02297047228317	DMSO
B17	BRD-K98849963-001-01-1	5.01730214983383	DMSO
B18	BRD-K70968200-001-01-4	5.01930880771951	DMSO
B19	BRD-K13312254-001-01-0	5.02156454542735	DMSO
B20	BRD-K47675707-001-01-3	5.00798043230324	DMSO
B21	BRD-K73338579-001-01-0	4.62392471755822	DMSO
B22	BRD-K75528981-001-01-6	5.04495448190249	DMSO
B23	BRD-K89824635-001-01-3	5.02226065576601	DMSO
