well_position	broad_sample	conc_mmol
A01	BRD-K34651941-001-01-5	5.090810191185736
A02	BRD-K32367331-001-01-8	5.193959708238601
A03	BRD-K00566460-001-01-6	5.143815123228794
A04	BRD-K26005379-001-02-3	5.0206323053633755
A05	BRD-K15508005-001-01-3	4.979694444101794
A06	BRD-K23164928-001-01-9	5.001396410440939
A07	BRD-K55311609-001-01-3	5.05459579058041
A08	BRD-K53953065-001-02-9	5.009343527440451
A09	BRD-K23825243-001-01-3	5.139956786368401
A10	BRD-K89637567-001-01-1	4.938178586917587
A11	BRD-K75814223-001-01-8	5.0731054593357685
A12	BRD-K94803981-001-01-0	5.061952349086883
A13		
A14		
A15	BRD-K56536241-001-02-6	5.012192953177062
A16	BRD-K56272400-001-02-5	5.010473451153488
A17	BRD-K05957858-001-02-0	4.997873971051035
A18	BRD-K52104866-001-01-3	5.13749390874351
A19	BRD-K14567490-001-01-2	5.0921871430126595
A20	BRD-K70193997-001-02-4	5.004379662945394
A21	BRD-K97339945-001-01-7	5.002869025529865
A22	BRD-K35407043-001-02-6	5.016255410956194
A23	BRD-K83872468-001-01-0	4.896278495483818
A24	BRD-K83845975-001-01-2	5.0118445511427145
B01	BRD-K88072146-001-01-2	5.05459579058041
B02	BRD-K31360506-001-01-3	4.894490465695695
B03	BRD-K45520793-001-01-8	4.976278018543285
B04	BRD-K75073374-001-02-6	5.018968129603681
B05	BRD-K05248348-001-01-4	5.079208007813765
B06	BRD-K90163297-001-01-2	5.019002450367358
B07	BRD-K67702605-001-02-1	5.005918193297546
B08	BRD-K30382953-001-02-4	5.005939776843335
B09	BRD-K62612761-001-01-9	4.934480038050681
B10	BRD-K95147720-001-01-7	5.010637798005912
B11	BRD-K81725246-001-01-1	5.033340221765866
B12	BRD-K04409515-001-02-8	4.996990177739761
B13		
B14		
B15	BRD-K14721042-001-01-8	4.850944880219839
B16	BRD-K86914375-001-02-7	5.014520735586582
B17	BRD-K18026442-001-02-2	5.0119780829247125
B18	BRD-K93601851-001-01-6	5.035756080063975
B19	BRD-K90264208-001-01-6	5.133405992190146
B20	BRD-K21533599-001-01-5	5.129183678876155
B21	BRD-K68401280-001-02-1	5.001412056732771
B22	BRD-K13241788-001-02-4	5.019444376442165
B23	BRD-K48780709-001-01-8	5.089417555125001
B24	BRD-K05229696-001-02-0	5.0140926925186236
C01	BRD-K23817660-001-02-2	5.0013823839218565
C02	BRD-K56661847-001-01-2	5.144108593330544
C03	BRD-K08927194-001-01-5	5.153804637067017
C04	BRD-K69089961-001-01-1	4.821185400207961
C05	BRD-K89416748-001-02-0	5.011890170311578
C06	BRD-K28319429-001-01-8	5.040867853351844
C07	BRD-K27612721-001-02-0	5.024726053645903
C08	BRD-K76611906-001-02-9	5.011856230081957
C09	BRD-K49039223-001-02-3	5.00740957573318
C10	BRD-K50260295-001-02-4	5.030292391958701
C11		
C12		
C13	BRD-K71339292-001-01-6	4.984326045648427
C14	BRD-K36198653-001-01-3	4.941244871135428
C15		
C16		
C17	BRD-K01467488-001-01-4	5.173723400388625
C18	BRD-K20847739-001-01-1	5.004632668441839
C19	BRD-K99446825-001-01-3	5.07799123308343
C20	BRD-K13279882-001-01-1	4.901804752072389
C21	BRD-K06091213-001-01-9	4.911304481054215
C22	BRD-K62708569-001-01-9	4.950588981025944
C23	BRD-K27671601-001-02-1	5.024949271579857
C24	BRD-K05400180-001-02-0	5.008401558204775
D01	BRD-K96431636-001-01-7	5.059217388845305
D02	BRD-K50190949-001-02-3	5.023650573167538
D03	BRD-K51104732-001-02-4	5.0275698528507204
D04	BRD-K70940767-001-01-8	4.95786428036613
D05	BRD-K98339888-001-01-5	5.0134946705720065
D06	BRD-K64345025-001-02-4	5.037461984621152
D07	BRD-K58168959-001-01-0	4.882485238983006
D08	BRD-K38969544-001-02-6	5.000866409461386
D09	BRD-K46961295-001-02-4	5.002840714703437
D10	BRD-K31584969-001-02-6	5.009544388842251
D11		
D12		
