well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K25512917-001-01-0	5.016865538803019	DMSO
A02	BRD-K15444424-001-01-4	5.018151927348639	DMSO
A03	BRD-K35088248-001-01-9	5.01838603401713	DMSO
A04	BRD-K15792876-001-01-9	4.90766093220744	DMSO
A05	BRD-K11487484-001-01-4	5.00826549427505	DMSO
A06	BRD-K24206299-001-01-8	5.047509328865241	DMSO
A07	BRD-K46412655-001-01-4	5.0418249041808	DMSO
A08	BRD-K22988729-001-01-3	4.98709474505354	DMSO
A09	BRD-K64026092-001-01-0	5.033915763661111	DMSO
A10	BRD-K04712840-001-01-3	4.967985317341991	DMSO
A11	BRD-K69780027-001-01-7	4.996100904315679	DMSO
A12	BRD-K84636055-001-01-7	5.01957819632471	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K32535831-001-01-5	5.018185341748519	DMSO
A16	BRD-K30655307-001-01-8	4.97091601816041	DMSO
A17	BRD-K31608682-001-01-1	5.04519306654301	DMSO
A18	BRD-K28258038-001-01-1	4.987847619306089	DMSO
A19	BRD-K69520171-001-01-1	5.02408467536333	DMSO
A20	BRD-K25982056-001-01-6	4.9559695185614405	DMSO
A21	BRD-K25387295-001-01-9	5.011662644402089	DMSO
A22	BRD-K74873856-001-01-9	4.95238775727836	DMSO
A23	BRD-K69171646-001-01-0	5.0061187607472695	DMSO
A24	BRD-K85912419-001-01-2	4.9755531185646396	DMSO
B01	BRD-K43142490-001-01-9	5.00984811329546	DMSO
B02	BRD-K23776284-001-01-8	4.9903020677397	DMSO
B03	BRD-K49847771-001-01-7	5.0238662820024	DMSO
B04	BRD-K31721388-001-01-9	5.02019149409443	DMSO
B05	BRD-K58041870-001-01-5	5.023413554058191	DMSO
B06	BRD-K11781871-001-01-1	4.97342187802192	DMSO
B07	BRD-K85917058-001-01-7	5.0086534270156795	DMSO
B08	BRD-K27372445-001-01-8	4.974449164755269	DMSO
B09	BRD-K89089981-001-01-3	5.01215402882647	DMSO
B10	BRD-K81471597-001-01-7	4.98505424982301	DMSO
B11	BRD-K27335290-001-01-1	5.01585201151994	DMSO
B12	BRD-K52194153-001-01-6	4.976674797570411	DMSO
B13			DMSO
B14			DMSO
B15	BRD-K50604515-001-01-9	4.978152471383599	DMSO
B16	BRD-K74754874-001-01-9	5.00099982515232	DMSO
B17	BRD-K93747042-001-01-7	5.0019326928240195	DMSO
B18	BRD-K03254663-001-01-1	4.9929399415752505	DMSO
B19	BRD-K35156336-001-01-7	5.011936007807259	DMSO
B20	BRD-K18801549-001-01-2	4.97825030875837	DMSO
B21	BRD-K95653016-001-01-7	4.96919219484833	DMSO
B22	BRD-K60862683-001-01-7	5.0075881539285705	DMSO
B23	BRD-K29077209-001-01-7	4.97526102003225	DMSO
B24	BRD-K18084996-001-01-3	4.9987319381649895	DMSO
C01	BRD-K58933168-001-01-4	5.00295626438983	DMSO
C02	BRD-K77207661-001-01-2	5.00570181486711	DMSO
C03	BRD-K19039785-001-01-1	5.03555196908379	DMSO
C04	BRD-K62781263-001-01-5	5.02657810674293	DMSO
C05	BRD-K05096562-001-01-6	4.97776718593623	DMSO
