well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02			DMSO
A03	BRD-K68761274-001-05-9	5.0	DMSO
A04	BRD-K70175115-001-05-1	5.0	DMSO
A05	BRD-A35335404-001-05-7	5.0	DMSO
A06	BRD-K29764219-001-05-9	5.0	DMSO
A07	BRD-K67688670-001-05-5	5.0	DMSO
A08	BRD-A86383684-001-05-6	5.0	DMSO
A09	BRD-K13438055-001-06-3	5.0	DMSO
A10	BRD-K13121141-001-05-3	5.0	DMSO
A11	BRD-K64647292-001-05-2	5.0	DMSO
A12	BRD-K77858004-001-05-9	5.0	DMSO
A13	BRD-K56881946-001-05-7	5.0	DMSO
A14	BRD-K13888520-001-05-8	5.0	DMSO
A15	BRD-K80883800-001-06-6	5.0	DMSO
A16	BRD-K53264031-001-05-5	5.0	DMSO
A17	BRD-K33250330-001-05-7	5.0	DMSO
A18	BRD-K42422750-001-05-2	5.0	DMSO
A19	BRD-K12027758-001-05-7	5.0	DMSO
A20	BRD-K64939875-001-07-4	5.0	DMSO
A21	BRD-K64484241-001-05-2	5.0	DMSO
A22	BRD-K47034629-001-05-9	5.0	DMSO
A23			DMSO
A24			DMSO
B01			DMSO
B02			DMSO
B03	BRD-K06513056-001-05-3	5.0	DMSO
B04	BRD-K41049580-001-05-0	5.0	DMSO
B05	BRD-A36245464-001-05-4	5.0	DMSO
B06	BRD-K54336972-001-05-1	5.0	DMSO
B07	BRD-K34534303-001-06-4	5.0	DMSO
B08	BRD-A36746745-001-05-2	5.0	DMSO
B09	BRD-K06857049-001-05-4	5.0	DMSO
B10	BRD-K86379340-001-06-6	5.0	DMSO
B11	BRD-K39806256-001-06-8	5.0	DMSO
B12	BRD-K02171186-001-05-7	5.0	DMSO
B13	BRD-K64695087-004-06-2	5.0	DMSO
B14	BRD-K56545046-001-05-7	5.0	DMSO
B15	BRD-K76188740-001-07-7	5.0	DMSO
B16	BRD-K48074802-001-04-6	5.0	DMSO
B17	BRD-K04993135-001-05-4	5.0	DMSO
B18	BRD-K66019884-001-04-9	5.0	DMSO
B19	BRD-K25260870-001-06-0	5.0	DMSO
B20	BRD-K17199516-001-06-0	5.0	DMSO
B21	BRD-A20953965-001-05-5	5.0	DMSO
B22	BRD-K52542133-001-05-2	5.0	DMSO
B23			DMSO
B24			DMSO
C01			DMSO
C02			DMSO
C03	BRD-K61364657-001-06-4	5.0	DMSO
