well_position	broad_sample	conc_mmol
A01	BRD-K20257792-001-01-7	4.976400122045852
A02	BRD-K20325525-001-01-6	5.003789117750558
A03	BRD-K20398543-001-01-1	4.980709402572921
A04	BRD-K20426211-001-01-1	5.1025380458327
A05	BRD-K20447569-001-01-5	5.0463802414076735
A06	BRD-K20497425-001-01-4	5.016266304032496
A07	BRD-K20560768-001-01-4	5.0126146250469
A08	BRD-K20600965-001-01-9	4.9818387997062255
A09	BRD-K20667558-001-01-1	4.9382994017289
A10	BRD-K20690715-001-01-3	5.019212107144453
A11	BRD-K20836550-001-01-0	4.994795332658246
A12	BRD-K20853228-001-01-7	5.253495199838607
A13		
A14		
A15	BRD-K20912596-001-01-5	5.003047348689693
A16	BRD-K20969558-001-01-1	4.992989323467298
A17	BRD-K21009787-001-01-8	5.035636030576239
A18	BRD-K21059010-001-01-2	5.01888079999223
A19	BRD-K21196859-001-01-6	5.019769494975206
A20	BRD-K21386594-001-01-3	5.0040103765845485
A21	BRD-K21412601-001-01-8	5.011471353130214
A22	BRD-K21420222-001-01-0	5.182108849335707
A23	BRD-K21544408-001-01-3	4.991135333376446
A24	BRD-K21582416-001-01-3	5.039035144679
B01	BRD-K21629471-001-01-4	4.937041586417788
B02	BRD-K21652644-001-01-8	5.073543488774239
B03	BRD-K21740361-001-01-2	5.039035304687686
B04	BRD-K21826560-001-01-8	5.000713142267848
B05	BRD-K21933068-001-01-9	5.022536352333856
B06	BRD-K21996934-001-01-8	5.043603705835241
B07	BRD-K22011492-001-01-9	5.0197384146140225
B08	BRD-K22139757-001-01-8	5.008969093218455
B09	BRD-K22193148-001-01-3	4.995953209114465
B10	BRD-K22475995-001-01-8	4.962125034975084
B11	BRD-K22478004-001-01-1	4.920057824490601
B12	BRD-K22694513-001-01-7	5.145975632376784
B13		
B14		
B15	BRD-K22854578-001-01-9	5.000431956044978
B16	BRD-K23024526-001-01-1	4.929916736034137
B17	BRD-K23064726-001-01-5	5.014017495452801
B18	BRD-K23085156-001-01-9	5.007198321994645
