well_position	broad_sample	conc_mmol
A01		
A02		
A03	BRD-K85305931-001-06-7	5.0
A04	BRD-A81185370-001-06-7	5.0
A05	BRD-A20114232-001-06-9	5.0
A06	BRD-K49505990-001-05-7	5.0
A07	BRD-K74836786-001-06-0	5.0
A08	BRD-K13002672-001-05-2	5.0
A09	BRD-A32435422-001-05-6	5.0
A10	BRD-K92650255-001-05-7	5.0
A11	BRD-K18347729-001-05-9	5.0
A12	BRD-K11524566-003-05-2	5.0
A13	BRD-K66624788-001-05-0	5.0
A14	BRD-A77566727-001-05-6	5.0
A15	BRD-K55722508-001-05-4	5.0
A16	BRD-K52808536-001-05-0	5.0
A17	BRD-K25171989-001-05-9	5.0
A18	BRD-K72760840-001-05-0	5.0
A19	BRD-A90025074-001-05-5	5.0
A20	BRD-K97584676-001-05-4	5.0
A21	BRD-K34662997-001-05-6	5.0
A22	BRD-K93809140-001-05-7	5.0
A23		
A24		
B01		
B02		
B03	BRD-K95864593-001-05-2	5.0
B04	BRD-K49181073-001-05-7	5.0
B05	BRD-K77064446-003-05-6	5.0
B06	BRD-K34966669-001-05-8	5.0
B07	BRD-A57334865-001-06-3	5.0
B08	BRD-K42722906-001-06-6	5.0
B09	BRD-K80246058-066-06-8	5.0
B10	BRD-K78611329-001-05-9	5.0
B11	BRD-K75656771-001-06-8	5.0
B12	BRD-K87811421-001-05-1	5.0
B13	BRD-K10696173-001-05-8	5.0
B14	BRD-K97107694-001-05-2	5.0
B15	BRD-K38337863-001-05-2	5.0
B16	BRD-A72763822-001-06-6	5.0
B17	BRD-K89100005-001-07-7	5.0
B18	BRD-A32406671-001-06-3	5.0
B19	BRD-K35468290-001-05-1	5.0
B20	BRD-K06080743-001-05-2	5.0
B21	BRD-K95174966-001-05-5	5.0
B22	BRD-K93970870-001-06-1	5.0
B23		
B24		
C01		
C02		
C03	BRD-A13883216-001-06-8	5.0
C04	BRD-A58235937-001-04-0	5.0
C05	BRD-K17157813-001-08-4	5.0
C06	BRD-K38702363-001-05-2	5.0
C07	BRD-K08829872-001-07-9	5.0
C08	BRD-A07703688-001-05-7	5.0
C09	BRD-K27489218-001-05-6	5.0
C10	BRD-K64929039-001-05-2	5.0
C11	BRD-K50153919-001-07-6	5.0
