well_position	broad_sample	conc_mmol
A01	BRD-K35881842-001-01-7	5.189290801637767
A02	BRD-K29493594-001-01-9	4.627212257477879
A03	BRD-K36462169-001-01-0	5.029736452301791
A04	BRD-K00381581-001-01-4	5.232540494949846
A05	BRD-K77316712-001-01-0	5.029776314907119
A06	BRD-K10558099-001-01-0	5.354534527250513
A07	BRD-K68774060-001-01-9	4.650438788778548
A08	BRD-K57061210-001-01-3	5.003069676844273
A09	BRD-K18246949-001-01-6	5.135640025320324
A10	BRD-K49480198-001-01-2	5.000654041608241
A11	BRD-K57962577-001-01-9	4.760205055775597
A12	BRD-K92137277-001-01-8	4.596712961739244
A13		
A14		
A15	BRD-K42733037-001-01-6	5.030783819541538
A16	BRD-K20721504-001-01-1	5.247330175402635
A17	BRD-K96586144-001-01-3	4.771983794807338
A18	BRD-K67433929-001-01-4	5.292666569257438
A19	BRD-K93894185-001-01-4	4.653938203757382
A20	BRD-K03416270-001-01-1	5.352753846813787
A21	BRD-K37766746-001-01-5	5.067265502282043
A22	BRD-K25164076-001-01-7	5.052647397500864
A23	BRD-K76636716-001-01-8	5.005494321637104
A24	BRD-K71387353-001-01-1	5.038652803301586
B01	BRD-K61694653-001-01-9	5.024899027015377
B02	BRD-K97523213-001-01-1	5.457278373050704
B03	BRD-K16636143-001-01-4	4.645262340237281
B04	BRD-K36777393-001-01-9	5.023286250560199
B05	BRD-K55100062-001-01-0	5.005125914377566
B06	BRD-K18440865-001-01-5	5.475503601367515
B07	BRD-K45336346-001-01-1	5.043856508342034
B08	BRD-K44993940-001-01-0	4.953948192685313
B09	BRD-K08373870-001-01-3	5.252310171245985
B10	BRD-K05733208-001-01-4	4.658059206188344
B11	BRD-K69705756-001-01-1	4.6068717423840795
B12	BRD-K82328933-001-01-1	5.025164929412198
B13		
B14		
B15	BRD-K69586787-001-01-8	5.339768479350449
B16	BRD-K72694250-001-01-3	4.659273688120412
B17	BRD-K64649040-001-01-2	4.851452712836652
B18	BRD-K10449938-001-01-7	5.011569462160367
B19	BRD-K84935204-001-01-3	5.264575441059369
B20	BRD-K45883686-001-01-0	5.240426012430655
B21	BRD-K92523103-001-03-5	4.990253654546226
B22	BRD-K14535500-001-01-7	5.3765304035517065
B23	BRD-K01478916-001-01-3	5.032629739647111
B24	BRD-K75012089-001-03-8	5.00583584007343
C01	BRD-K06718821-001-01-1	5.155048026618477
C02	BRD-K08663380-001-01-0	5.3037357794662245
C03	BRD-K76784707-001-01-7	5.048896026871385
C04	BRD-K51041684-001-01-8	5.11259016741575
C05	BRD-K84567604-001-01-0	5.3619166829658536
C06	BRD-K64920356-001-01-5	5.007385093369285
C07	BRD-K73575094-001-01-3	5.016774918526143
C08	BRD-K35691352-001-03-8	5.0063351719282965
C09	BRD-K88176535-001-03-6	5.019632210897561
C10	BRD-K55038865-001-01-1	5.016221105701797
C11		
C12		
C13	BRD-K63521250-001-01-9	4.6033378303550085
C14	BRD-K55896440-001-01-6	4.905493662465684
C15		
C16		
C17	BRD-K37638153-001-01-2	5.058914120364219
C18	BRD-K05791917-001-01-4	5.029599275550171
C19	BRD-K45340761-001-01-9	5.034808544927128
C20	BRD-K47570616-001-01-6	5.010191319121999
C21	BRD-K14002526-001-01-8	5.057597172309951
C22	BRD-K15453459-001-01-3	4.998592840732343
C23	BRD-K16348047-001-01-3	4.97654832985811
C24	BRD-K35535652-001-01-8	4.91233831848147
D01	BRD-K01594626-001-01-8	5.252423013260619
D02	BRD-K73104592-001-01-9	5.02267519489749
D03	BRD-K05961870-001-01-8	4.894148524285204
D04	BRD-K87621813-001-03-5	5.0180246615923565
D05	BRD-K69947829-001-02-0	5.013082628533201
D06	BRD-K49685495-001-01-6	5.166725707005314
D07	BRD-K64801282-001-01-6	4.85015176195181
D08	BRD-K02785641-001-01-2	5.007878889211979
D09	BRD-K98419480-001-01-7	5.039249712521155
D10	BRD-K77811363-001-01-2	4.93779209606257
D11		
D12		
D13	BRD-K50358328-001-01-9	5.14847122549457
D14	BRD-K62732912-001-01-3	5.038610223410668
D15		
D16		
D17	BRD-K79781870-001-01-1	5.332424963485486
D18	BRD-K63374765-001-01-1	5.0179525643475555
D19	BRD-K17525686-001-01-1	5.306700436877047
D20	BRD-K70201679-001-01-2	4.854141369927586
D21	BRD-K78918239-001-01-6	4.956164252702611
D22	BRD-K31829694-001-01-9	5.463439055348036
D23	BRD-K77596469-001-01-2	5.245799788898471
D24	BRD-K31449336-001-03-6	5.016606368709163
E01		
E02		
E03	BRD-K37434447-001-01-2	4.882366721546015
E04	BRD-K70469022-001-01-9	5.039316006843179
E05	BRD-K33013391-001-01-4	4.987038247780623
E06	BRD-K83675132-001-01-3	5.265163936442235
E07	BRD-K61431779-001-01-5	5.0706748295330515
E08	BRD-K54410116-001-01-0	5.024248634889205
E09		
E10		
E11	BRD-K70179603-001-01-1	5.005417277792364
E12	BRD-K93210686-001-01-7	4.638386736174813
E13	BRD-K58999044-001-03-1	5.02991616469355
E14	BRD-K71795383-001-01-9	5.038863348995228
E15	BRD-K19106401-001-01-2	5.004130424822582
E16	BRD-K62189562-001-03-5	5.011341872993246
E17		
E18		
E19	BRD-K78097639-001-01-5	5.394059652044547
E20	BRD-K04759195-001-01-5	5.383204054225431
E21	BRD-K50799972-001-01-3	4.91706988866994
E22	BRD-K32310489-001-01-8	4.876907124118376
E23	BRD-K20834925-001-01-3	5.108815395103505
