well_position	broad_sample	mmoles_per_liter	solvent
F14	BRD-K56024096-001-06-0	5.0	DMSO
F15	BRD-A49765532-001-05-4	5.0	DMSO
F16	BRD-K42951459-001-05-4	5.0	DMSO
F17	BRD-K88734341-001-05-1	5.0	DMSO
F18	BRD-K52435917-001-06-9	5.0	DMSO
F19	BRD-K34968258-001-05-1	5.0	DMSO
F20	BRD-K79516550-001-04-2	5.0	DMSO
F21	BRD-K43401718-001-05-6	5.0	DMSO
F22	BRD-A04956113-001-05-9	5.0	DMSO
F23			DMSO
F24			DMSO
G01			DMSO
G02			DMSO
G03	BRD-A54760339-001-05-2	5.0	DMSO
G04	BRD-K75200342-001-05-7	5.0	DMSO
G05	BRD-K80616260-001-06-3	5.0	DMSO
G06	BRD-K13283010-001-05-9	5.0	DMSO
G07	BRD-K24760559-001-05-0	5.0	DMSO
G08	BRD-A73547039-001-05-3	5.0	DMSO
G09	BRD-K05321880-034-05-5	5.0	DMSO
G10	BRD-A81729309-001-05-0	5.0	DMSO
G11	BRD-K05326558-001-05-4	5.0	DMSO
G12	BRD-K04279360-001-06-2	5.0	DMSO
G13	BRD-A57961536-001-06-2	5.0	DMSO
G14	BRD-K41920118-001-05-3	5.0	DMSO
G15	BRD-K52542093-001-05-0	5.0	DMSO
G16	BRD-K92282284-001-05-4	5.0	DMSO
G17	BRD-K32086160-001-05-1	5.0	DMSO
G18	BRD-K24198990-001-05-0	5.0	DMSO
G19	BRD-K94452775-001-05-7	5.0	DMSO
G20	BRD-K98636592-001-05-2	5.0	DMSO
G21	BRD-K01383926-001-07-0	5.0	DMSO
G22	BRD-K38087085-001-05-5	5.0	DMSO
G23			DMSO
G24			DMSO
H01			DMSO
H02			DMSO
H03	BRD-K62723829-236-05-7	5.0	DMSO
H04	BRD-K44240812-001-05-2	5.0	DMSO
H05	BRD-A99268498-001-08-4	5.0	DMSO
H06	BRD-K55224251-001-05-0	5.0	DMSO
H07	BRD-K13788958-001-05-1	5.0	DMSO
H08	BRD-K01425987-001-06-7	5.0	DMSO
H09	BRD-A04935495-001-05-1	5.0	DMSO
H10	BRD-K81572714-001-06-9	5.0	DMSO
H11	BRD-K78754138-001-05-8	5.0	DMSO
H12	BRD-K08198475-001-05-4	5.0	DMSO
H13	BRD-K82612152-001-05-3	5.0	DMSO
H14	BRD-K15038311-001-05-1	5.0	DMSO
H15	BRD-K73766778-001-05-2	5.0	DMSO
H16	BRD-A91543130-001-06-6	5.0	DMSO
H17	BRD-K26748504-001-05-9	5.0	DMSO
H18	BRD-A38054473-001-05-7	5.0	DMSO
H19	BRD-K71329101-001-05-9	5.0	DMSO
H20	BRD-K02491227-001-05-0	5.0	DMSO
H21	BRD-K85382097-005-05-9	5.0	DMSO
H22	BRD-K21413586-001-05-6	5.0	DMSO
H23			DMSO
H24			DMSO
I01			DMSO
I02			DMSO
I03	BRD-K98197259-001-05-9	5.0	DMSO
I04	BRD-K02260952-001-05-0	5.0	DMSO
I05	BRD-K22390355-001-05-4	5.0	DMSO
I06	BRD-K94592778-001-03-2	5.0	DMSO
I07	BRD-A81508267-001-05-8	5.0	DMSO
I08	BRD-K90976916-001-05-9	5.0	DMSO
I09	BRD-K73426366-001-05-1	5.0	DMSO
I10	BRD-K26371873-003-05-9	5.0	DMSO
I11	BRD-A42359060-001-05-3	5.0	DMSO
I12	BRD-K85351291-001-05-7	5.0	DMSO
I13	BRD-K01997760-001-05-0	5.0	DMSO
I14	BRD-K09285442-001-05-8	5.0	DMSO
I15	BRD-A23340311-001-06-1	5.0	DMSO
I16	BRD-K98065297-001-06-0	5.0	DMSO
I17	BRD-A75539147-003-05-3	5.0	DMSO
I18	BRD-K46839081-001-06-1	5.0	DMSO
I19	BRD-A91821072-001-06-6	5.0	DMSO
I20	BRD-K55697397-001-05-2	5.0	DMSO
I21	BRD-A44803380-001-06-9	5.0	DMSO
I22	BRD-K02615925-003-06-3	5.0	DMSO
I23			DMSO
I24			DMSO
J01			DMSO
J02			DMSO
J03	BRD-K95534312-001-05-1	5.0	DMSO
J04	BRD-A08075568-001-06-2	5.0	DMSO
J05	BRD-K26985219-001-06-1	5.0	DMSO
J06	BRD-K60277684-001-12-4	5.0	DMSO
J07	BRD-A41619259-001-05-2	5.0	DMSO
J08	BRD-K83500212-003-12-9	5.0	DMSO
J09	BRD-A63882908-001-04-7	5.0	DMSO
J10	BRD-K03078367-001-05-4	5.0	DMSO
J11	BRD-K71832874-001-05-7	5.0	DMSO
J12	BRD-K31388867-001-05-8	5.0	DMSO
