well_position	broad_sample	conc_mmol
A01		
A02		
A03	BRD-K13741983-001-05-9	5.0
A04	BRD-A16891671-001-05-8	5.0
A05	BRD-K70195702-001-06-6	5.0
A06	BRD-K55286161-001-05-8	5.0
A07	BRD-K98879597-001-06-1	5.0
A08	BRD-K33088594-001-06-0	5.0
A09	BRD-K94144404-001-05-9	5.0
A10	BRD-K42411129-001-05-9	5.0
A11	BRD-K86726862-001-05-8	5.0
A12	BRD-K81742580-001-06-9	5.0
A13	BRD-K50842855-001-05-4	5.0
A14	BRD-K52886246-001-08-1	5.0
A15	BRD-K57808487-034-06-3	5.0
A16	BRD-K35448613-001-05-3	5.0
A17	BRD-K09963346-001-05-7	5.0
A18	BRD-K37827001-001-05-6	5.0
A19	BRD-K65452667-001-05-3	5.0
A20	BRD-A82982666-001-01-0	5.0
A21	BRD-K63881275-001-05-9	5.0
A22	BRD-K15976239-001-07-7	5.0
A23		
A24		
B01		
B02		
B03	BRD-K78817124-001-05-9	5.0
B04	BRD-K64876000-001-05-0	5.0
B05	BRD-K58784344-001-06-7	5.0
B06	BRD-K04781025-001-06-4	5.0
B07	BRD-K86471821-001-06-9	5.0
B08	BRD-K11710893-001-05-5	5.0
B09	BRD-K05139097-001-06-7	5.0
B10	BRD-K10098695-001-05-6	5.0
B11	BRD-K51358889-001-05-0	5.0
B12	BRD-K74195971-001-05-8	5.0
B13	BRD-K90006227-001-05-9	5.0
B14	BRD-K97050484-001-05-8	5.0
B15	BRD-K20937978-001-05-1	5.0
B16	BRD-K52241838-001-05-9	5.0
B17	BRD-K67547420-001-05-6	5.0
B18	BRD-K02347735-001-06-7	5.0
B19	BRD-K53662664-001-05-4	5.0
B20	BRD-K66768592-001-05-1	5.0
B21	BRD-A08986082-001-05-9	5.0
B22	BRD-K28657502-001-05-2	5.0
B23		
B24		
C01		
C02		
C03	BRD-K89041560-001-05-4	5.0
C04	BRD-K11914247-001-07-2	5.0
C05	BRD-K64015442-001-05-1	5.0
C06	BRD-A82293681-004-06-6	5.0
C07	BRD-K35396724-001-06-8	5.0
C08	BRD-K45599961-001-04-2	5.0
C09	BRD-K49281678-001-04-7	5.0
C10	BRD-K47243638-001-04-8	5.0
C11	BRD-K72025565-001-06-9	5.0
