well_position	broad_sample	conc_mmol
A01	BRD-K99377470-001-02-6	5.076308433593346
A02	BRD-K68758518-001-01-0	5.0023252403451615
A03	BRD-K81131499-001-01-6	5.0714725322236225
A04	BRD-K89660028-001-01-6	5.003070461968935
A05	BRD-K50191826-001-01-1	5.0543866436254765
A06	BRD-K09432998-001-01-3	5.016124813995175
A07	BRD-K72050003-001-01-8	5.030665381245601
A08	BRD-K35451051-001-01-5	5.051852375676508
A09	BRD-K99028283-001-01-4	5.049319433161955
A10	BRD-K70854630-001-01-6	5.046259311533025
A11	BRD-K31218318-001-01-1	5.056805438082449
A12	BRD-K95334975-001-01-3	5.0580595647673
A13		
A14		
A15	BRD-K60952519-001-01-6	5.0663618931441015
A16	BRD-K76166595-001-01-2	4.950420920336269
A17	BRD-K01660763-001-01-0	4.9550568433871325
A18	BRD-K28932860-001-01-4	4.96602608045853
A19	BRD-K34009761-001-01-3	4.965519150701695
A20	BRD-K13113551-001-01-2	4.970137015545502
A21	BRD-K30462643-001-01-2	4.972091040591218
A22	BRD-K11566982-001-02-0	4.973373092926639
A23	BRD-K84090286-001-01-8	4.990715686225511
A24	BRD-K20799008-001-01-8	4.994204603903386
B01	BRD-K95619717-001-01-0	5.0061852893106105
B02	BRD-K10527362-001-01-5	5.028081458550899
B03	BRD-K68617666-001-01-8	5.006855634862356
B04	BRD-K00717406-001-01-2	5.035582844057319
B05	BRD-K21215763-001-01-9	5.126276645170127
B06	BRD-K33497830-001-01-8	5.167216552275506
B07	BRD-K51253991-001-01-7	4.93446049340489
B08	BRD-K92241728-001-01-3	4.933931796892509
B09	BRD-K76922696-001-01-6	4.9605960515975145
B10	BRD-K64992851-001-02-2	4.995509245263021
B11	BRD-K10540354-001-01-8	5.023223960296685
B12	BRD-K73075421-001-01-8	5.029777448784911
B13		
B14		
B15	BRD-K24838542-001-01-3	5.048510792591441
B16	BRD-K43295075-001-01-8	5.078741396139889
B17	BRD-K39668479-001-01-4	5.088544193409041
B18	BRD-K77108448-001-01-2	4.958214462092629
B19	BRD-K53647637-001-01-8	4.958196115174616
B20	BRD-K16954129-001-01-9	4.9883525777241555
B21	BRD-K95871937-001-01-1	5.069663654425069
B22	BRD-K25330450-001-01-0	5.060282523816233
B23	BRD-K93990956-001-01-7	5.133773416152608
B24	BRD-K76588804-001-01-4	4.771710611939511
C01	BRD-K55053106-001-01-9	4.834743513997821
C02	BRD-K72707702-001-01-7	4.8591079606162495
C03	BRD-K91879432-001-01-8	4.922957562168961
C04	BRD-K08799663-001-01-0	5.069802344630946
C05	BRD-K43473008-001-01-3	4.812167569253283
C06	BRD-K37949240-001-01-8	4.84906529616647
C07	BRD-K06208179-001-01-1	4.898655310695229
C08	BRD-K31898235-001-01-0	4.8755164357883585
C09	BRD-K57650037-001-01-4	4.862390807111265
C10	BRD-K33037101-001-01-4	4.8554531659521505
C11		
C12		
C13	BRD-K88820027-001-01-8	5.018738055550971
C14	BRD-K14732815-001-01-0	5.042073501592843
C15		
C16		
C17	BRD-K16746805-001-01-0	5.097127305433929
C18	BRD-K78082598-001-01-6	5.063189946716127
C19	BRD-K91399333-001-01-7	5.156521576030011
C20	BRD-K16686330-001-01-2	5.176224625920229
C21	BRD-K61416283-001-01-5	5.2081328028217575
C22	BRD-K15876355-001-01-0	4.946051229067557
C23	BRD-K41311678-001-01-6	4.948739694781908
C24	BRD-K02050740-001-01-1	4.961327508052875
D01	BRD-K35347834-001-01-9	4.964780139412922
D02	BRD-K18031793-001-01-9	4.968304884631127
D03	BRD-K46439376-001-01-5	4.983178122370272
D04	BRD-K13873561-001-01-9	5.014577819619297
D05	BRD-K39672303-001-01-8	5.028193776046262
D06	BRD-K73635724-001-01-3	5.024068671313513
D07	BRD-K84606053-001-01-2	5.0537547626565775
D08	BRD-K28030757-001-01-3	4.906051069302595
D09	BRD-K58324650-001-01-1	5.080438908195443
D10	BRD-K35726223-001-01-3	5.144533240266022
D11		
D12		
D13	BRD-K10564128-001-01-3	4.9857520333781515
D14	BRD-K21167361-001-01-8	5.002792728177613
D15		
D16		
D17	BRD-K95574976-001-01-3	5.001137630266844
D18	BRD-K88812218-001-01-4	5.000138928480648
D19	BRD-K59670689-001-01-1	5.012014700339239
D20	BRD-K87268607-001-01-9	5.012441715725845
D21	BRD-K02061146-001-01-8	5.021737603281192
D22	BRD-K54931539-001-01-4	5.040449027931269
D23	BRD-K78639526-001-01-0	5.033009599827634
D24	BRD-K45315294-001-01-7	5.047493755695957
E01		
E02		
E03	BRD-K90366266-001-01-8	5.048401066493774
E04	BRD-K64567246-001-01-8	5.067053358925868
E05	BRD-K86925685-001-01-0	5.072788394011595
E06	BRD-K41809257-001-01-8	5.042987144269905
E07	BRD-K63093217-001-02-9	5.138173814927524
E08	BRD-K33865795-001-01-9	4.840210885191389
E09		
E10		
E11	BRD-K04087396-001-01-8	4.9507499874716805
E12	BRD-K32577562-001-01-2	4.953588727746336
E13	BRD-K88936403-001-01-6	4.997109149417575
E14	BRD-K11331752-001-01-9	5.058265353293882
E15	BRD-K54023716-001-01-5	4.926296778210864
E16	BRD-K80546581-001-01-5	4.938544599587456
E17		
E18		
E19	BRD-K54042694-001-01-1	4.954747569189869
E20	BRD-K33734659-001-01-2	4.952586555683884
E21	BRD-K16884266-001-01-1	4.94305836621996
E22	BRD-K36289678-001-01-1	4.962781414003122
E23	BRD-K98271666-001-01-8	4.971128883373032
E24	BRD-K72465479-001-01-3	4.988602309674235
F01		
F02		
F03	BRD-K09842906-001-01-4	4.990437959719063
F04	BRD-K95171874-001-01-1	5.001030859178015
F05	BRD-K74568359-001-01-7	5.002113332977632
F06	BRD-K00808919-001-01-9	4.9445589057229435
