Original_Plate_Map_Name	well_position	broad_sample	conc_mmol
H-CBLG-005-4	A01	BRD-K23232523-001-01-3	5.033502287480181
H-CBLG-005-4	A02	BRD-K50788885-001-01-2	5.012948295168552
H-CBLG-005-4	A03	BRD-K21143905-001-01-2	5.004115917245474
H-CBLG-005-4	A04	BRD-K50677542-001-01-2	5.054648652960754
H-CBLG-005-4	A05	BRD-K29756429-001-01-0	5.09159073329578
H-CBLG-005-4	A06	BRD-K24020784-001-01-5	4.966878950937252
H-CBLG-005-4	A07	BRD-K56776985-001-01-0	5.028300989693194
H-CBLG-005-4	A08	BRD-K50603336-001-01-8	4.986736723747819
H-CBLG-005-4	A09	BRD-K82506716-001-01-5	5.007128995857101
H-CBLG-005-4	A10	BRD-K85546819-001-01-4	5.013715060606249
H-CBLG-005-4	A11	BRD-K96779993-001-01-6	5.015393815699309
H-CBLG-005-4	A12	BRD-K64165176-001-01-5	5.03191652668245
H-CBLG-005-4	A13		
H-CBLG-005-4	A14		
H-CBLG-005-4	A15	BRD-K68149575-001-01-2	4.994676334365519
H-CBLG-005-4	A16	BRD-K87447060-001-01-9	5.098447915042581
H-CBLG-005-4	A17	BRD-K28314528-001-01-9	4.945732964358756
H-CBLG-005-4	A18	BRD-K11990377-001-01-7	5.021862425466803
H-CBLG-005-4	A19	BRD-K28347985-001-01-5	5.033115922026775
H-CBLG-005-4	A20	BRD-K48046422-001-01-0	5.035403394712509
H-CBLG-005-4	A21	BRD-K06203932-001-01-0	5.070666227353448
H-CBLG-005-4	A22	BRD-K03884263-001-01-9	5.0064264045653974
H-CBLG-005-4	A23	BRD-K38081867-001-01-1	5.013569230715776
H-CBLG-005-4	A24	BRD-K19672435-001-01-3	4.9673151440322245
H-CBLG-005-4	B01	BRD-K34059927-001-01-9	5.019742129363905
H-CBLG-005-4	B02	BRD-K49744949-001-01-3	5.051641541564614
H-CBLG-005-4	B03	BRD-K81457218-001-01-5	5.138568019286215
H-CBLG-005-4	B04	BRD-K59960811-001-01-7	4.994912382825561
H-CBLG-005-4	B05	BRD-K76691746-001-01-7	5.052088118292044
H-CBLG-005-4	B06	BRD-K18316646-001-01-3	4.98947465187154
H-CBLG-005-4	B07	BRD-K77875023-001-01-9	5.0431511512104645
H-CBLG-005-4	B08	BRD-K39498165-001-01-5	5.048612911405313
H-CBLG-005-4	B09	BRD-K52017042-001-01-4	5.023739576687755
H-CBLG-005-4	B10	BRD-K20809650-001-01-6	5.006280551906322
H-CBLG-005-4	B11	BRD-K69879051-001-01-6	5.060450267413253
H-CBLG-005-4	B12	BRD-K62584372-001-01-1	4.9752464105284275
H-CBLG-005-4	B13		
H-CBLG-005-4	B14		
H-CBLG-005-4	B15	BRD-K25226763-001-01-2	4.99254485730278
H-CBLG-005-4	B16	BRD-K21479004-001-01-0	5.038760154574824
H-CBLG-005-4	B17	BRD-K41026056-001-01-2	5.040858525240955
H-CBLG-005-4	B18	BRD-K64571715-001-01-2	4.983352509671158
H-CBLG-005-4	B19	BRD-K77101974-001-01-9	5.002128656173041
H-CBLG-005-4	B20	BRD-K37219127-001-01-4	5.221921368700975
H-CBLG-005-4	B21	BRD-K38752276-001-01-2	5.030687481564949
H-CBLG-005-4	B22	BRD-K19411393-001-01-6	4.981857679509009
H-CBLG-005-4	B23	BRD-K47349976-001-01-9	5.119611753655923
H-CBLG-005-4	B24	BRD-K41327620-001-01-1	4.9987224724364
H-CBLG-005-4	C01	BRD-K53931904-001-01-2	5.010657940823908
H-CBLG-005-4	C02	BRD-K12343830-001-01-9	5.073006534693538
H-CBLG-005-4	C03	BRD-K74767736-001-01-9	5.073062440976996
H-CBLG-005-4	C04	BRD-K17060750-001-01-0	5.053307301735476
H-CBLG-005-4	C05	BRD-K85907501-001-01-1	4.9871103305383295
H-CBLG-005-4	C06	BRD-K04116560-001-01-5	4.996460186299114
H-CBLG-005-4	C07	BRD-K94452277-001-01-9	5.028531123702504
H-CBLG-005-4	C08	BRD-K78262424-001-01-4	5.021646285960313
H-CBLG-005-4	C09	BRD-K77591784-001-01-1	5.0092942523518404
H-CBLG-005-4	C10	BRD-K32370845-001-01-1	4.984361952660181
H-CBLG-005-4	C11		
H-CBLG-005-4	C12		
H-CBLG-005-4	C13	BRD-K62800316-001-01-0	5.032034971629892
H-CBLG-005-4	C14	BRD-K69294714-001-01-7	5.0341646882940845
H-CBLG-005-4	C15		
H-CBLG-005-4	C16		
H-CBLG-005-4	C17	BRD-K23326916-001-01-8	5.013942800230196
H-CBLG-005-4	C18	BRD-K93374700-001-01-3	3.458780185507175
H-CBLG-005-4	C19	BRD-K18856772-001-01-4	3.141483922504888
H-CBLG-005-4	C20	BRD-K32960568-001-01-4	4.25839856652526
H-CBLG-005-4	C21	BRD-K06398048-001-01-9	3.738785060699744
H-CBLG-005-4	C22	BRD-K00611112-001-01-2	5.003913483603123
H-CBLG-005-4	C23	BRD-K96101240-001-01-4	5.015841112172446
H-CBLG-005-4	C24	BRD-K51398207-001-01-0	4.961968200755804
H-CBLG-005-4	D01	BRD-K97805186-001-01-5	4.971565859845294
H-CBLG-005-4	D02	BRD-K36099605-001-01-2	5.040645117813247
H-CBLG-005-4	D03	BRD-K42526449-001-01-6	4.991575794607779
H-CBLG-005-4	D04	BRD-K75657700-001-01-3	5.145337747114115
H-CBLG-005-4	D05	BRD-K98944347-001-01-7	5.041277847721308
H-CBLG-005-4	D06	BRD-K11117868-001-01-3	4.989879166297527
H-CBLG-005-4	D07	BRD-K79213964-001-01-2	5.035596799347285
H-CBLG-005-4	D08	BRD-K42091424-001-01-0	4.981076067105255
H-CBLG-005-4	D09	BRD-K03886176-001-01-0	5.001201626972349
H-CBLG-005-4	D10	BRD-K01022714-001-01-3	4.997749207770781
H-CBLG-005-4	D11		
H-CBLG-005-4	D12		
H-CBLG-005-4	D13	BRD-K14599588-001-01-8	4.974615272812733
H-CBLG-005-4	D14	BRD-K45421483-001-01-4	4.942650148005932
H-CBLG-005-4	D15		
H-CBLG-005-4	D16		
H-CBLG-005-4	D17	BRD-K16717067-001-01-4	4.980433215321484
H-CBLG-005-4	D18	BRD-K30812092-001-01-4	4.996012858674212
H-CBLG-005-4	D19	BRD-K73442516-001-01-6	5.020145775790961
H-CBLG-005-4	D20	BRD-K75065750-001-01-8	5.015000893428459
H-CBLG-005-4	D21	BRD-K71870778-001-01-3	5.040512632960292
H-CBLG-005-4	D22	BRD-K21997380-001-01-5	5.029633148110622
H-CBLG-005-4	D23	BRD-K41322154-001-01-6	5.001927449154051
H-CBLG-005-4	D24	BRD-K33805195-001-01-1	4.996187757701156
H-CBLG-005-4	E01		
H-CBLG-005-4	E02		
H-CBLG-005-4	E03	BRD-K76706127-001-01-2	5.0218663958074305
H-CBLG-005-4	E04	BRD-K09587429-001-01-3	4.995801345310157
H-CBLG-005-4	E05	BRD-K18313650-001-01-3	5.034404919226274
H-CBLG-005-4	E06	BRD-K84170953-001-01-0	4.985756239731817
H-CBLG-005-4	E07	BRD-K48129913-001-01-0	5.03254408239649
H-CBLG-005-4	E08	BRD-K54712090-001-01-9	4.9848608014190186
H-CBLG-005-4	E09		
H-CBLG-005-4	E10		
H-CBLG-005-4	E11	BRD-K63626200-001-01-7	5.038470056999028
H-CBLG-005-4	E12	BRD-K61431055-001-01-0	5.041784606446896
H-CBLG-005-4	E13	BRD-K19776718-001-01-0	4.927030264520319
H-CBLG-005-4	E14	BRD-K69387464-001-01-1	4.984387007992194
H-CBLG-005-4	E15	BRD-K24124047-001-01-8	5.0647180449713805
H-CBLG-005-4	E16	BRD-K38131403-001-01-5	5.057542576190253
H-CBLG-005-4	E17		
H-CBLG-005-4	E18		
H-CBLG-005-4	E19	BRD-K61134709-001-01-0	5.0671151473816565
H-CBLG-005-4	E20	BRD-K83815133-001-01-4	5.009393487536954
H-CBLG-005-4	E21	BRD-K07390518-001-01-6	5.419332094538905
H-CBLG-005-4	E22	BRD-K43364707-001-01-8	4.980869828769664
H-CBLG-005-4	E23	BRD-K07460436-001-01-6	4.992511665842447
H-CBLG-005-4	E24	BRD-K85110576-001-01-2	5.039044785626231
H-CBLG-005-4	F01		
H-CBLG-005-4	F02		
H-CBLG-005-4	F03	BRD-K24166534-001-01-9	4.989205234523573
H-CBLG-005-4	F04	BRD-K78596805-001-01-4	5.010368219915578
H-CBLG-005-4	F05	BRD-K26361872-001-01-4	5.000025658323173
H-CBLG-005-4	F06	BRD-K38189757-001-01-5	5.0030118994421295
H-CBLG-005-4	F07	BRD-K27347421-001-01-8	5.006114431499582
H-CBLG-005-4	F08	BRD-K87530935-001-01-5	5.035275351166951
H-CBLG-005-4	F09		
H-CBLG-005-4	F10		
H-CBLG-005-4	F11	BRD-K60188481-001-01-1	5.038716216494155
H-CBLG-005-4	F12	BRD-K34604755-001-01-9	4.928447578083018
H-CBLG-005-4	F13	BRD-K37763427-001-01-8	5.03963277280645
H-CBLG-005-4	F14	BRD-K37831546-001-01-9	5.02648315712517
H-CBLG-005-4	F15	BRD-K36282114-001-01-8	5.050702260946465
H-CBLG-005-4	F16	BRD-K81120201-001-01-8	5.0011558705777395
H-CBLG-005-4	F17		
H-CBLG-005-4	F18		
H-CBLG-005-4	F19	BRD-K17675924-001-01-6	5.057603571822016
H-CBLG-005-4	F20	BRD-K95323025-001-01-6	5.039637085600853
H-CBLG-005-4	F21	BRD-K40612106-001-01-0	5.042928875402391
H-CBLG-005-4	F22	BRD-K27719710-001-01-8	5.129420382031536
H-CBLG-005-4	F23	BRD-K88099511-001-01-2	5.0279150051077455
H-CBLG-005-4	F24	BRD-K77139764-001-01-3	5.01167590600598
H-CBLG-005-4	G01	BRD-K69423881-001-01-9	5.100066237235104
H-CBLG-005-4	G02	BRD-K53293966-001-01-2	5.021857409977421
H-CBLG-005-4	G03		
H-CBLG-005-4	G04		
H-CBLG-005-4	G05	BRD-K12106433-001-01-1	4.964459506367161
H-CBLG-005-4	G06	BRD-K58445641-001-01-6	5.047321181543745
