well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K62106945-001-01-1	5.0155956584846395	DMSO
A02	BRD-K71337947-001-01-9	4.9447119065312	DMSO
A03	BRD-K40694355-001-01-6	4.53016420251067	DMSO
A04	BRD-K59191656-001-01-7	5.22790363633081	DMSO
A05	BRD-K61499353-001-01-6	5.0209771637120095	DMSO
A06	BRD-K63602071-001-01-4	5.0033018343179805	DMSO
A07	BRD-K49597140-001-01-2	5.31540547558092	DMSO
A08	BRD-K53183074-001-01-4	5.0038951647875995	DMSO
A09	BRD-K54589358-001-01-8	4.95748497172512	DMSO
A10	BRD-K45723650-001-01-0	5.02282306440311	DMSO
A11	BRD-K44341698-001-01-6	5.02295805024198	DMSO
A12	BRD-K98240084-001-01-7	5.1798099670552595	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K94694331-001-01-0	4.846510963083089	DMSO
A16	BRD-K09301754-001-01-4	5.025912111713571	DMSO
A17	BRD-K68368772-001-01-9	4.95594070394676	DMSO
A18	BRD-K25566775-001-01-7	5.08966489746741	DMSO
A19	BRD-K72066167-001-01-6	5.0245185400777	DMSO
A20	BRD-K03864628-001-01-1	5.0494007453710195	DMSO
A21	BRD-K26666618-001-01-5	5.03229370154964	DMSO
A22	BRD-K57054528-001-01-5	5.00444360638423	DMSO
A23	BRD-K86631008-001-01-4	4.97370939048026	DMSO
A24	BRD-K49434056-001-01-0	4.942530296747799	DMSO
B01	BRD-K17834240-001-01-6	5.00454590242166	DMSO
B02	BRD-K40509566-001-01-1	4.96086065015885	DMSO
B03	BRD-K06532738-001-01-8	4.99758206408979	DMSO
B04	BRD-K58180017-001-01-5	4.97561530355289	DMSO
B05	BRD-K38289428-001-01-2	5.06211125566601	DMSO
B06	BRD-K10821756-001-01-6	4.9806538311500095	DMSO
B07	BRD-K68682056-001-01-0	5.01597123374649	DMSO
B08	BRD-K77106209-001-01-5	5.1347710057736204	DMSO
B09	BRD-K59704843-001-01-1	5.0573290815278495	DMSO
B10	BRD-K26785978-001-01-7	5.06945168337941	DMSO
B11	BRD-K50174388-001-01-7	4.952577494752981	DMSO
B12	BRD-K78948132-001-01-1	5.01562826255414	DMSO
B13			DMSO
B14			DMSO
B15	BRD-K28223745-001-01-9	5.0145227221217805	DMSO
B16	BRD-K88686946-001-01-1	5.03617785767082	DMSO
B17	BRD-K62990480-001-01-9	5.04345156143897	DMSO
B18	BRD-K06804050-001-01-1	5.0514013532122695	DMSO
B19	BRD-K82502275-001-01-7	5.161212145994231	DMSO
B20	BRD-K56719502-001-01-4	5.041422728073719	DMSO
B21	BRD-K61825138-001-01-4	5.014611567407269	DMSO
B22	BRD-K60011163-001-01-0	4.9944015298982105	DMSO
B23	BRD-K74458364-001-01-4	5.05623869235188	DMSO
B24	BRD-K65778372-001-01-6	4.9461142894200805	DMSO
C01	BRD-K86979665-001-01-1	5.16387958188861	DMSO
C02	BRD-K01326303-001-01-5	5.29511630054434	DMSO
C03	BRD-K90830329-001-01-8	5.05398101443948	DMSO
C04	BRD-K62836687-001-01-5	4.99820304462816	DMSO
C05	BRD-K81543190-001-01-4	4.9734008882033205	DMSO
C06	BRD-K23396987-001-01-5	5.070548421377549	DMSO
C07	BRD-K96634415-001-01-3	5.05694300527451	DMSO
C08	BRD-K69845975-001-01-0	4.90935968852268	DMSO
C09	BRD-K88187036-001-01-1	5.0188998975678	DMSO
C10	BRD-K76988892-001-01-9	5.044035573452571	DMSO
C11			DMSO
C12			DMSO
C13	BRD-K70783031-001-01-2	5.10977570417297	DMSO
C14	BRD-K22387508-001-01-5	5.01668262571239	DMSO
C15			DMSO
C16			DMSO
C17	BRD-K71346068-001-01-3	4.98594681741872	DMSO
C18	BRD-K64537516-001-01-4	5.27270089631777	DMSO
C19	BRD-K13891716-001-01-5	5.021573144075219	DMSO
C20	BRD-K65730939-001-01-3	5.141194024329731	DMSO
C21	BRD-K83859448-001-01-2	5.105995646718459	DMSO
C22	BRD-K74659043-001-01-6	5.02267337003454	DMSO
C23	BRD-K42959654-001-01-9	5.039009515488121	DMSO
C24	BRD-K84787606-001-01-2	5.02716039733282	DMSO
D01	BRD-K31108633-001-01-2	4.96862985151619	DMSO
D02	BRD-K45440108-001-01-9	5.0351791702363	DMSO
D03	BRD-K30781800-001-01-4	5.02879973887427	DMSO
D11			DMSO
D12			DMSO
D13	BRD-K61533941-001-01-1	5.01236002121694	DMSO
D14	BRD-K16121755-001-01-6	5.02007812118533	DMSO
D15			DMSO
D16			DMSO
D17	BRD-K29326878-001-01-8	5.0496831430494495	DMSO
D18	BRD-K89952884-001-01-0	4.98589544017996	DMSO
D19	BRD-K75383594-001-01-5	5.0182187106886	DMSO
