well_position	broad_sample	conc_mmol
A01		
A02		
A03	BRD-K14388439-001-05-8	5.0
A04	BRD-K17013498-001-05-7	5.0
A05	BRD-K73732735-001-05-6	5.0
A06	BRD-K80088492-001-04-0	5.0
A07	BRD-K13937727-001-05-4	5.0
A08	BRD-A98200806-034-05-2	5.0
A09	BRD-A71838263-001-05-5	5.0
A10	BRD-K64536584-001-05-4	5.0
A11	BRD-A37872319-001-05-1	5.0
A12	BRD-K49111789-001-05-9	5.0
A13	BRD-K76140946-001-06-2	5.0
A14	BRD-K28342012-001-05-4	5.0
A15	BRD-K51509019-001-05-1	5.0
A16	BRD-K49119404-001-05-7	5.0
A17	BRD-K20777727-001-06-3	5.0
A18	BRD-K75977772-001-05-9	5.0
A19	BRD-K23930887-001-06-1	5.0
A20	BRD-K07079807-001-05-6	5.0
A21	BRD-K24842996-001-05-7	5.0
A22	BRD-K99447049-001-04-5	5.0
A23		
A24		
B01		
B02		
B03	BRD-K04007157-001-05-6	5.0
B04	BRD-K51456536-001-05-9	5.0
B05	BRD-K19009762-001-05-2	5.0
B06	BRD-K84099045-003-06-6	5.0
B07	BRD-K66678262-001-06-9	5.0
B08	BRD-A47235740-001-04-1	5.0
B09	BRD-K64231918-001-05-9	5.0
B10	BRD-K72545968-001-06-9	5.0
B11	BRD-K76218980-001-11-3	5.0
B12	BRD-K15342451-001-05-7	5.0
B13	BRD-K50963323-001-05-2	5.0
B14	BRD-A90037676-001-05-2	5.0
B15	BRD-K38333122-001-05-8	5.0
B16	BRD-K23252094-001-05-1	5.0
B17	BRD-K25642624-001-05-0	5.0
B18	BRD-K57239091-001-05-0	5.0
B19	BRD-K84512386-001-05-1	5.0
B20	BRD-K18667904-001-07-3	5.0
B21	BRD-A32792984-001-05-0	5.0
B22	BRD-K57719285-001-06-5	5.0
B23		
B24		
C01		
C02		
C03	BRD-K09579906-001-05-3	5.0
C04	BRD-K70783599-001-06-5	5.0
C05	BRD-K60943112-001-06-5	5.0
C06	BRD-A84109971-001-04-2	5.0
C07	BRD-K47972240-001-05-9	5.0
C08	BRD-K89467820-001-05-7	5.0
C09	BRD-K06409014-001-05-5	5.0
C10	BRD-K03709743-001-05-9	5.0
C11	BRD-K94641083-001-05-2	5.0
