well_position	broad_sample	conc_mmol
A01		
A02		
A03	BRD-A03925449-001-06-8	4.999999999999999
A04	BRD-K09753654-001-06-6	4.999999999999999
A05	BRD-K61680422-001-05-9	4.999999999999999
A06	BRD-K37426855-001-06-2	4.999999999999999
A07	BRD-K36858276-001-05-0	4.999999999999999
A08	BRD-A74992649-001-05-2	4.999999999999999
A09	BRD-K29977000-034-05-1	4.999999999999999
A10	BRD-K22375870-001-04-4	4.999999999999999
A11	BRD-A85811398-001-05-4	4.999999999999999
A12	BRD-K44206907-001-05-9	4.999999999999999
A13	BRD-K44472573-001-05-0	4.999999999999999
A14	BRD-K52520502-001-05-1	4.999999999999999
A15	BRD-A34301196-001-05-2	4.999999999999999
A16	BRD-A30257315-001-06-4	4.999999999999999
A17	BRD-K29581056-001-05-3	4.999999999999999
A18	BRD-K08586435-001-05-9	4.999999999999999
A19	BRD-K07505457-001-05-3	4.999999999999999
A20	BRD-K30528364-001-05-8	4.999999999999999
A21	BRD-A09279836-001-04-0	4.999999999999999
A22	BRD-K67332226-001-05-9	4.999999999999999
A23		
A24		
B01		
B02		
B03	BRD-K12052661-001-05-1	4.999999999999999
B04	BRD-K50120401-001-05-4	4.999999999999999
B05	BRD-K03225200-004-08-0	4.999999999999999
B06	BRD-K32854385-001-03-6	4.999999999999999
B07	BRD-K77480726-001-05-9	4.999999999999999
B08	BRD-A96826680-003-05-2	4.999999999999999
B09	BRD-K71904196-001-05-5	4.999999999999999
B10	BRD-K26516932-001-05-2	4.999999999999999
B11	BRD-A87899349-001-05-7	4.999999999999999
B12	BRD-K65871716-001-05-5	4.999999999999999
B13	BRD-K29793373-001-05-0	4.999999999999999
B14	BRD-K47277196-001-05-7	4.999999999999999
B15	BRD-K52002039-001-05-2	4.999999999999999
B16	BRD-K88441166-001-05-5	4.999999999999999
B17	BRD-K11819200-001-05-2	4.999999999999999
B18	BRD-K85819329-001-06-7	4.999999999999999
B19	BRD-A90994427-001-05-6	4.999999999999999
B20	BRD-K62791766-001-05-7	4.999999999999999
B21	BRD-K69047074-001-05-4	4.999999999999999
B22	BRD-K11302672-003-06-2	4.999999999999999
B23		
B24		
C01		
C02		
C03	BRD-K71952344-001-05-5	4.999999999999999
