well_position	broad_sample	conc_mmol
A01	BRD-K80632398-001-01-6	5.162524357389848
A02	BRD-K85236776-001-01-3	5.062604531117785
A03	BRD-K35716266-001-01-2	5.262444183661912
A04	BRD-K77905217-001-01-0	5.000774361024626
A05	BRD-K77804886-001-01-5	4.939338535231509
A06	BRD-K70802145-001-01-3	4.999999999999999
A07	BRD-K80563095-001-01-9	4.824820097685967
A08	BRD-K09645804-001-02-2	5.004617859282579
A09	BRD-K15707609-001-01-1	4.934129142132901
A10	BRD-K64694541-001-01-2	4.926997459675364
A11	BRD-K11424789-001-01-9	5.076265232042407
A12	BRD-K48809858-001-01-4	5.008348395615404
A13		
A14		
A15	BRD-K53283097-001-01-5	4.892665872030943
A16	BRD-K28987821-001-01-6	4.997339362376461
A17	BRD-K39014692-001-01-2	4.936645966481945
A18	BRD-K47002284-001-01-1	4.9755924122348585
A19	BRD-K68200852-001-01-7	5.028584336967088
A20	BRD-K95611306-001-01-4	5.013276622090472
A21	BRD-K76379937-001-01-8	5.089815196473535
A22	BRD-K82494270-001-01-2	4.981699451088455
A23	BRD-K19390271-001-01-9	4.906122617954189
A24	BRD-K07660364-001-01-7	4.913175387112
B01	BRD-K50307707-001-01-7	5.112536333476256
B02	BRD-K90883684-001-01-6	5.004001618002379
B03	BRD-K26968526-001-01-6	4.9847586959248344
B04	BRD-K32380923-001-01-5	4.922098930909832
B05	BRD-K05984448-001-01-3	5.035856769966543
B06	BRD-K01922500-001-01-2	4.931561625977817
B07	BRD-K63860984-001-01-4	5.073840556559443
B08	BRD-K36623409-001-01-7	4.8639280481626175
B09	BRD-K00596708-001-02-3	5.011333639703503
B10	BRD-K01221769-001-02-3	4.999999999999999
B11	BRD-K79004751-001-01-2	5.015072291316851
B12	BRD-K81699431-001-01-3	5.001581347517316
B13		
B14		
B15	BRD-K91535031-001-01-1	4.891592058167102
B16	BRD-K88560304-001-01-4	5.053559883633863
B17	BRD-K17289060-001-01-0	4.987943714465571
B18	BRD-K20272026-001-01-4	4.915297624399264
B19	BRD-K37933621-001-01-1	5.021257764974682
B20	BRD-K17666351-001-02-5	5.006580741859908
B21	BRD-K31610599-001-01-9	5.053106134546977
B22	BRD-K39143839-001-01-3	5.00308446815286
B23	BRD-K70077013-001-01-1	5.021165694354038
B24	BRD-K07686903-001-01-0	5.021165694354038
C01	BRD-K40121369-001-01-4	5.001065244922273
C02	BRD-K11857988-001-01-9	5.001065244922273
C03	BRD-K23664396-001-01-1	5.006499739229205
C04	BRD-K20121961-001-01-0	4.9570410994287775
C05	BRD-K96003120-001-01-7	4.982434341152254
C06	BRD-K15955205-001-01-4	4.972618795856652
C07	BRD-K81662460-001-01-5	4.97949655352727
C08	BRD-K51812182-001-01-9	4.96403535428372
C09	BRD-K62265198-001-01-9	5.039883265875292
C10	BRD-K51703152-001-01-6	5.082293783401729
C11		
C12		
C13	BRD-K46661156-001-01-0	5.161682707655345
C14	BRD-K51471107-001-01-6	5.009839467655362
C15		
C16		
C17	BRD-K74582039-001-01-6	4.687905067822245
C18	BRD-K19995377-001-01-8	5.02983537762284
C19	BRD-K45319476-001-01-9	5.059870386421733
C20	BRD-K88281008-001-01-6	4.983839661124151
C21	BRD-K60667054-001-01-1	5.046669449175896
C22	BRD-K93339435-001-02-6	5.008713491329801
C23	BRD-K55345900-001-02-5	5.0147098294826815
C24	BRD-K61683215-001-01-3	5.04096820765155
D01	BRD-K93376546-001-01-6	5.113583544583782
D02	BRD-K13007539-001-01-3	5.01386948233078
D03	BRD-K34502913-001-01-4	5.0724902644250225
D04	BRD-K46447740-001-01-7	5.099961480815495
D05	BRD-K12506756-001-01-1	5.04096820765155
D06	BRD-K67260071-001-01-7	5.007024958925018
D07	BRD-K59983542-001-01-5	5.088972994259305
D08	BRD-K83654676-001-02-8	5.012153686806823
D09	BRD-K66732564-001-02-8	5.003025836042642
D10	BRD-K91595583-001-01-7	4.995358837272982
D11		
D12		
D13	BRD-K21665449-001-01-7	4.963657756050354
D14	BRD-K47533918-001-01-9	4.989262475499399
D15		
D16		
D17	BRD-K35584941-001-01-7	4.989384402734871
D18	BRD-K24469697-001-01-0	4.963657756050354
D19	BRD-K64040351-001-01-7	5.059573847954709
D20	BRD-K09124072-001-02-3	5.00233547249927
D21	BRD-K07105437-001-01-6	4.997688519251311
D22	BRD-K43568193-001-01-5	4.969021917860258
D23	BRD-K71943487-001-01-0	4.936544650423262
D24	BRD-K79219981-001-01-8	5.052019379088135
E01		
E02		
E03	BRD-K14346766-001-01-8	5.026175612300799
E04	BRD-K38540783-001-01-7	5.067886613232753
E05	BRD-K44887903-001-01-9	5.088136352274409
E06	BRD-K45480436-001-02-6	5.013868167881565
E07	BRD-K42752188-001-01-3	4.899961837769909
E08	BRD-K24572125-001-01-3	5.082965471146955
E09		
E10		
E11	BRD-K09557852-001-01-2	5.079185857201128
E12	BRD-K39367499-001-01-9	5.117904925646175
E13	BRD-K25765811-001-01-1	4.946860286590272
E14	BRD-K86981020-001-01-7	5.0439954999973065
E15	BRD-K80998388-001-01-3	5.224634457297487
E16	BRD-K15104539-001-01-6	5.065893796184136
E17		
E18		
E19	BRD-K86843304-001-02-4	5.0011531588849305
E20	BRD-K32652655-001-01-1	5.075182268938512
E21	BRD-K58493165-001-01-2	5.0404207465485245
E22	BRD-K46810582-001-01-7	4.939795286998552
E23	BRD-K31314139-001-01-5	4.9315013097265545
E24	BRD-K20441249-001-01-6	4.977579624675349
F01		
F02		
F03	BRD-K77729938-001-01-2	4.870660486879898
F04	BRD-K31027517-001-01-5	4.912593127622959
F05	BRD-K85549762-001-01-5	4.985718064473751
F06	BRD-K69980290-001-01-3	5.049994737848736
F07	BRD-K74429632-001-01-1	5.271958846865155
F08	BRD-K50230035-001-01-4	5.0386400560323255
F09		
F10		
