well_position	broad_sample	conc_mmol
A01	BRD-K39237968-001-01-6	5.006640861125925
A02	BRD-K39306587-001-01-0	5.002653792993497
A03	BRD-K39397248-001-01-0	5.011324593838962
A04	BRD-K39438085-001-01-8	4.849670387190021
A05	BRD-K39561340-001-01-8	5.074799600802721
A06	BRD-K39573478-001-01-7	5.005787581043426
A07	BRD-K39600742-001-01-8	5.019455222078272
A08	BRD-K39624517-001-01-1	5.229325391241056
A09	BRD-K39639513-001-01-3	5.019640380236005
A10	BRD-K39681206-001-01-7	5.191591654596246
A11	BRD-K39695412-001-01-7	4.980638511981627
A12	BRD-K39709957-001-01-7	4.985648269691228
A13		
A14		
A15	BRD-K39710695-001-01-2	4.991259679954985
A16	BRD-K39965317-001-01-0	5.030522841595444
A17	BRD-K40061857-001-01-1	5.019950324200295
A18	BRD-K40102258-001-01-8	5.02913131740471
A19	BRD-K40170731-001-01-2	4.9898906491677115
A20	BRD-K40241022-001-01-9	4.996956319639165
A21	BRD-K40264914-001-01-2	5.026707000674375
A22	BRD-K40332193-001-01-9	5.016973402479643
A23	BRD-K40472535-001-01-0	5.024763954387615
A24	BRD-K40851366-001-01-9	5.029819098047345
B01	BRD-K40863542-001-01-1	5.007211715288038
B02	BRD-K40864085-001-01-2	5.028724961158045
B03	BRD-K40954438-001-01-5	4.976412254201951
B04	BRD-K40956802-001-01-8	5.017502916360674
B05	BRD-K40982265-001-01-4	5.010937654382709
B06	BRD-K41033343-001-01-1	5.026746632512354
B07	BRD-K41044903-001-01-0	5.006876769322802
B08	BRD-K41116634-001-01-2	5.02644782293808
B09	BRD-K41133627-001-01-6	5.008778043901608
B10	BRD-K41135617-001-01-3	5.0174974046594505
B11	BRD-K41172555-001-01-0	5.039886976403656
B12	BRD-K41185648-001-01-1	5.030491650307505
B13		
B14		
B15	BRD-K41272069-001-01-7	5.040976646805164
B16	BRD-K41412255-001-01-3	5.03754913119317
B17	BRD-K41517267-001-01-5	5.0297132296480225
B18	BRD-K41526317-001-01-6	4.9167117548448545
B19	BRD-K41562445-001-01-6	5.020369619932905
B20	BRD-K41656340-001-01-2	4.99046331298213
B21	BRD-K41674016-001-01-8	5.012523757578616
B22	BRD-K41774018-001-01-4	5.076540593285386
B23	BRD-K41866979-001-01-5	4.869236843006395
B24	BRD-K41939184-001-01-1	5.002845517295148
C01	BRD-K42032479-001-01-8	5.035426962055565
C02	BRD-K42034238-001-01-6	4.945502991487867
C03	BRD-K42392619-001-01-7	5.136571589955113
C04	BRD-K42394957-001-01-3	5.048623457924523
C05	BRD-K42439884-001-01-4	5.065258180628335
C06	BRD-K42455150-001-01-7	5.002532068431429
C07	BRD-K42654859-001-01-9	5.0209082729985015
C08	BRD-K42862653-001-01-6	5.022906831706883
C09	BRD-K42899345-001-01-2	4.998827315385791
C10	BRD-K42964952-001-01-8	5.084304960591301
C11		
C12		
C13	BRD-K42968343-001-01-7	5.007979378404388
C14	BRD-K42971210-001-01-1	5.02525508743918
C15		
C16		
C17	BRD-K43025624-001-01-5	5.061722672963572
C18	BRD-K43051162-001-01-9	4.930114454018232
C19	BRD-K43053725-001-01-5	5.038117151871265
C20	BRD-K43086600-001-01-5	4.990043074036166
C21	BRD-K43106305-001-01-9	5.0762361125683055
C22	BRD-K43192836-001-01-7	4.858687304886397
C23	BRD-K43237307-001-01-0	4.9891316565229955
C24	BRD-K43287163-001-01-8	5.279741184000405
D01	BRD-K43324262-001-01-9	5.003632696880698
D02	BRD-K43390080-001-01-0	5.051946407710917
D03	BRD-K43418395-001-01-9	5.163927683947323
D04	BRD-K43456755-001-01-3	4.997792178769276
D05	BRD-K43479153-001-01-3	4.98729811306637
D06	BRD-K43610632-001-01-4	5.003487637356166
D07	BRD-K43654313-001-01-8	4.9923788951610675
D08	BRD-K43729445-001-01-9	5.007190521703951
D09	BRD-K43775480-001-01-8	5.061887958697258
D10	BRD-K43901257-001-01-1	5.018810775785848
D11		
D12		
D13	BRD-K43936062-001-01-2	5.037633182542441
D14	BRD-K43992442-001-01-6	4.974723596243856
D15		
D16		
D17	BRD-K44177822-001-01-3	4.9191147042207986
D18	BRD-K44304623-001-01-4	5.022419992691336
D19	BRD-K44403120-001-01-2	5.030801320437908
D20	BRD-K44430448-001-01-0	5.025106222638051
D21	BRD-K44445002-001-01-6	4.99497319283738
D22	BRD-K44481920-001-01-0	5.0394795565748245
D23	BRD-K44506257-001-01-7	5.0473895044627906
D24	BRD-K44648112-001-01-2	4.83794613847289
E01		
E02		
E03	BRD-K44696931-001-01-0	5.0313876620950975
E04	BRD-K44722328-001-01-5	4.9929014200910204
E05	BRD-K44743425-001-01-3	4.989688452960047
E06	BRD-K44759088-001-01-7	5.027690044728918
E07	BRD-K44787496-001-01-4	4.857819150000658
E08	BRD-K44834268-001-01-0	5.077933704723323
E09		
E10		
E11	BRD-K44861255-001-01-8	4.992028903781879
E12	BRD-K44916315-001-01-8	4.9412341312721075
E13	BRD-K44921612-001-01-8	5.0453619864323995
E14	BRD-K44944875-001-01-2	5.06252898585041
E15	BRD-K45013226-001-01-1	5.073659493211806
E16	BRD-K45050268-001-01-2	4.768760711717855
E17		
E18		
E19	BRD-K45056520-001-01-3	4.93691054293548
E20	BRD-K45077605-001-01-7	5.005145845697228
E21	BRD-K45092891-001-01-9	5.081122930542097
E22	BRD-K45142472-001-01-9	4.995158029352597
E23	BRD-K45253154-001-01-9	4.988360265108696
E24	BRD-K45282594-001-01-6	5.011071080632503
F01		
