Original_Plate_Map_Name	well_position	broad_sample	conc_mmol
H-BIOA-002-3	A01	BRD-A44966919-001-03-1	4.999999999999999
H-BIOA-002-3	A02	BRD-A45140972-060-02-4	1.4387502163880324
H-BIOA-002-3	A03	BRD-A45499626-001-01-0	4.999999999999999
H-BIOA-002-3	A04	BRD-A45543382-001-02-7	1.2672729460962031
H-BIOA-002-3	A05	BRD-A46066006-004-04-4	5.0
H-BIOA-002-3	A06	BRD-A46684810-001-04-6	4.999999999999999
H-BIOA-002-3	A07	BRD-A46778020-001-02-6	5.0
H-BIOA-002-3	A08	BRD-A46950333-001-01-5	5.0
H-BIOA-002-3	A09	BRD-A47065382-001-02-9	10.31709722114351
H-BIOA-002-3	A10	BRD-A47144777-001-02-5	5.0
H-BIOA-002-3	A11	BRD-A47494775-003-03-0	2.5779959793574703
H-BIOA-002-3	A12	BRD-A47513740-001-02-5	0.24772840460060547
H-BIOA-002-3	A13		
H-BIOA-002-3	A14		
H-BIOA-002-3	A15	BRD-A47598013-004-02-0	5.0
H-BIOA-002-3	A16	BRD-A48015106-001-01-0	4.999999999999999
H-BIOA-002-3	A17	BRD-A48257147-001-01-9	4.999999999999999
H-BIOA-002-3	A18	BRD-A48300215-001-01-4	4.999999999999999
H-BIOA-002-3	A19	BRD-A48323445-001-02-6	5.0
H-BIOA-002-3	A20	BRD-A48478073-001-02-7	4.999999999999999
H-BIOA-002-3	A21	BRD-A48809242-001-02-9	4.89921597454822
H-BIOA-002-3	A22	BRD-A49035384-003-04-0	2.088207470595637
H-BIOA-002-3	A23	BRD-A49046702-001-01-2	4.999999999999999
H-BIOA-002-3	A24	BRD-A49172652-001-13-1	5.0
H-BIOA-002-3	B01	BRD-A49225603-045-02-7	4.999999999999999
H-BIOA-002-3	B02	BRD-A49358627-001-03-9	3.458359245089976
H-BIOA-002-3	B03	BRD-A49370193-051-01-7	4.999999999999999
H-BIOA-002-3	B04	BRD-A49544621-003-01-0	4.999999999999999
H-BIOA-002-3	B05	BRD-A49680073-001-01-9	4.999999999999999
H-BIOA-002-3	B06	BRD-A49734948-001-03-3	3.25370815357138
H-BIOA-002-3	B07	BRD-A49906757-004-03-1	2.4983493405906705
H-BIOA-002-3	B08	BRD-A50064262-001-02-1	5.0
H-BIOA-002-3	B09	BRD-A50157456-065-02-4	5.0
H-BIOA-002-3	B10	BRD-A50311610-300-04-7	4.999999999999999
H-BIOA-002-3	B11	BRD-A50675702-001-03-0	5.7188898559089365
H-BIOA-002-3	B12	BRD-A50684349-001-01-5	4.999999999999999
H-BIOA-002-3	B13		
H-BIOA-002-3	B14		
H-BIOA-002-3	B15	BRD-A50737080-001-01-4	4.999999999999999
H-BIOA-002-3	B16	BRD-A50764878-001-01-4	5.0
H-BIOA-002-3	B17	BRD-A50913845-001-01-7	5.0
H-BIOA-002-3	B18	BRD-A51381734-034-01-1	4.999999999999999
H-BIOA-002-3	B19	BRD-A51410489-001-01-4	5.0
H-BIOA-002-3	B20	BRD-A51713165-003-01-8	5.0
H-BIOA-002-3	B21	BRD-A51714012-001-02-3	4.999999999999999
H-BIOA-002-3	B22	BRD-A51820102-008-04-0	4.999999999999999
H-BIOA-002-3	B23	BRD-A51829654-001-01-4	5.0
H-BIOA-002-3	B24	BRD-A51929314-001-01-4	4.999999999999999
H-BIOA-002-3	C01	BRD-A52588987-004-04-1	4.999999999999999
H-BIOA-002-3	C02	BRD-A52660433-066-01-3	4.999999999999999
H-BIOA-002-3	C03	BRD-A52893269-001-02-4	5.0
H-BIOA-002-3	C04	BRD-A52922642-001-02-9	5.158600129253885
H-BIOA-002-3	C05	BRD-A53077924-236-01-4	5.0
H-BIOA-002-3	C06	BRD-A53134341-001-01-6	5.0
H-BIOA-002-3	C07	BRD-A53416814-001-01-5	5.0
H-BIOA-002-3	C08	BRD-A53561827-004-04-1	5.0
H-BIOA-002-3	C09	BRD-A53576514-003-03-1	3.2696593335401056
H-BIOA-002-3	C10	BRD-A53952395-003-04-6	5.0
H-BIOA-002-3	C11		
H-BIOA-002-3	C12		
H-BIOA-002-3	C13	BRD-A54029483-001-01-5	4.999999999999999
H-BIOA-002-3	C14	BRD-A54236247-003-02-7	5.0
H-BIOA-002-3	C15		
H-BIOA-002-3	C16		
H-BIOA-002-3	C17	BRD-A54490543-066-04-4	5.0
H-BIOA-002-3	C18	BRD-A54845972-066-01-5	4.999999999999999
H-BIOA-002-3	C19	BRD-A54927599-001-07-8	4.999999999999999
H-BIOA-002-3	C20	BRD-A55025683-001-03-6	1.5486178987893957
H-BIOA-002-3	C21	BRD-A55063801-001-02-6	5.0
H-BIOA-002-3	C22	BRD-A55272860-001-03-9	5.0
H-BIOA-002-3	C23	BRD-A55369275-001-01-6	4.999999999999999
H-BIOA-002-3	C24	BRD-A55393291-001-02-4	5.0
H-BIOA-002-3	D01	BRD-A55424491-001-04-1	4.999999999999999
H-BIOA-002-3	D02	BRD-A55574211-001-01-8	5.0
H-BIOA-002-3	D03	BRD-A55579717-001-02-4	5.0
H-BIOA-002-3	D04	BRD-A55756846-001-05-5	8.580194686676682
H-BIOA-002-3	D05	BRD-A55913614-316-04-7	5.0
H-BIOA-002-3	D06	BRD-A55962179-001-01-5	7.25
H-BIOA-002-3	D07	BRD-A56020723-001-02-0	6.289847125014034
H-BIOA-002-3	D08	BRD-A56675431-001-04-0	2.60488192382825
H-BIOA-002-3	D09	BRD-A56858165-001-01-0	4.999999999999999
H-BIOA-002-3	D10	BRD-A56884981-001-01-8	4.999999999999999
H-BIOA-002-3	D11		
H-BIOA-002-3	D12		
H-BIOA-002-3	D13	BRD-A56987319-001-03-8	12.182253925536417
H-BIOA-002-3	D14	BRD-A57133233-003-03-7	2.9648369155876537
H-BIOA-002-3	D15		
H-BIOA-002-3	D16		
H-BIOA-002-3	D17	BRD-A57382968-001-06-8	7.54497362609199
H-BIOA-002-3	D18	BRD-A57536034-001-02-8	8.109162562241064
H-BIOA-002-3	D19	BRD-A57798559-003-01-7	4.999999999999999
H-BIOA-002-3	D20	BRD-A58048407-001-06-3	5.974567366043149
H-BIOA-002-3	D21	BRD-A58207013-001-01-2	4.999999999999999
H-BIOA-002-3	D22	BRD-A58803929-001-02-9	5.0
H-BIOA-002-3	D23	BRD-A59009217-001-02-3	5.0
H-BIOA-002-3	D24	BRD-A59215453-003-03-3	2.6600548343703556
H-BIOA-002-3	E01		
H-BIOA-002-3	E02		
H-BIOA-002-3	E03	BRD-A59303141-001-03-9	3.4513871090277317
H-BIOA-002-3	E04	BRD-A59391763-103-01-9	5.0
H-BIOA-002-3	E05	BRD-A59682351-001-02-3	4.999999999999999
H-BIOA-002-3	E06	BRD-A60197193-001-05-4	4.999999999999999
H-BIOA-002-3	E07	BRD-A60274948-066-02-9	1.3320897653731685
H-BIOA-002-3	E08	BRD-A60583491-300-02-7	2.6291263875740323
H-BIOA-002-3	E09		
H-BIOA-002-3	E10		
H-BIOA-002-3	E11	BRD-A60877539-001-01-3	4.999999999999999
H-BIOA-002-3	E12	BRD-A61154809-001-03-5	4.999999999999999
H-BIOA-002-3	E13	BRD-A61221616-001-02-7	4.999999999999999
H-BIOA-002-3	E14	BRD-A61392169-001-01-9	5.0
H-BIOA-002-3	E15	BRD-A61470182-001-02-4	4.999999999999999
H-BIOA-002-3	E16	BRD-A61793559-001-04-0	4.999999999999999
H-BIOA-002-3	E17		
H-BIOA-002-3	E18		
H-BIOA-002-3	E19	BRD-A61856038-001-01-2	4.999999999999999
H-BIOA-002-3	E20	BRD-A61864215-001-02-9	4.999999999999999
H-BIOA-002-3	E21	BRD-A61899133-002-02-2	3.2437691897330563
H-BIOA-002-3	E22	BRD-A62021152-003-01-8	5.0
H-BIOA-002-3	E23	BRD-A62057054-001-01-5	5.0
H-BIOA-002-3	E24	BRD-A62209527-001-02-9	6.696185782081082
H-BIOA-002-3	F01		
H-BIOA-002-3	F02		
H-BIOA-002-3	F03	BRD-A62421304-004-04-9	5.0
H-BIOA-002-3	F04	BRD-A62428732-096-02-6	5.0
H-BIOA-002-3	F05	BRD-A62505706-001-02-3	4.999999999999999
H-BIOA-002-3	F06	BRD-A62525898-001-02-9	4.999999999999999
H-BIOA-002-3	F07	BRD-A62731508-001-02-5	4.999999999999999
H-BIOA-002-3	F08	BRD-A63346720-300-01-1	4.999999999999999
H-BIOA-002-3	F09		
H-BIOA-002-3	F10		
H-BIOA-002-3	F11	BRD-A63546914-003-01-2	5.0
H-BIOA-002-3	F12	BRD-A63667919-103-01-9	5.0
H-BIOA-002-3	F13	BRD-A63759745-001-01-0	4.999999999999999
H-BIOA-002-3	F14	BRD-A63836183-362-01-1	5.0
