well_position	broad_sample	conc_mmol
A01	BRD-K18250272-003-03-7	3.022516112882273
A02	BRD-K18316707-001-01-9	5.0
A03	BRD-K18438502-001-02-6	5.0
A04	BRD-K18550767-001-02-8	5.0
A05	BRD-K18574842-323-03-3	2.1954869000456063
A06	BRD-K18619710-001-03-7	2.560733820272235
A07	BRD-K18742343-001-03-2	5.0
A08	BRD-K18757346-001-02-9	0.49999999999999983
A09	BRD-K18779551-003-03-7	5.0
A10	BRD-K18787491-001-05-2	6.570477676880937
A11	BRD-K18799075-001-01-0	5.0
A12	BRD-K18816859-001-01-4	5.0
A13		
A14		
A15	BRD-K18909381-001-01-4	5.0
A16	BRD-K18910433-001-04-4	9.178287725075478
A17	BRD-K18922609-004-04-1	3.2872742382235045
A18	BRD-K19040732-300-01-9	3.5
A19	BRD-K19111024-001-04-3	4.999999999999999
A20	BRD-K19295594-001-04-4	4.999999999999999
A21	BRD-K19309090-300-03-0	2.5167240085453852
A22	BRD-K19352500-332-03-7	1.6499282000745166
A23	BRD-K19360254-001-01-3	4.999999999999999
A24	BRD-K19438463-001-01-4	5.0
B01	BRD-K19462402-003-03-0	2.908281751078768
B02	BRD-K19507340-001-03-1	2.6007228761248644
B03	BRD-K19533706-001-01-9	5.0
B04	BRD-K19554809-001-01-1	5.0
B05	BRD-K19605405-001-01-9	4.999999999999999
B06	BRD-K20043699-001-02-3	5.0
B07	BRD-K20141153-003-03-8	4.999999999999999
B08	BRD-K20152659-001-02-0	0.49999999999999983
B09	BRD-K20420220-001-02-1	5.0
B10	BRD-K20620780-001-01-0	5.0
B11	BRD-K20655524-003-04-7	3.1563305258825407
B12	BRD-K20672254-046-02-1	2.805882588965417
B13		
B14		
B15	BRD-K20714604-001-01-5	4.999999999999999
B16	BRD-K20742498-001-01-5	5.0
B17	BRD-K20755323-001-01-8	4.999999999999999
B18	BRD-K20995441-001-01-7	5.0
B19	BRD-K21283037-001-02-5	4.999999999999999
B20	BRD-K21350491-001-02-1	8.177337536092315
B21	BRD-K21450440-001-04-7	4.999999999999999
B22	BRD-K21520694-001-02-4	4.999999999999999
B23	BRD-K21548250-001-01-3	5.849999999999999
B24	BRD-K21565985-001-04-3	4.999999999999999
C01	BRD-K21667562-001-01-4	5.0
C02	BRD-K21680192-300-05-2	1.9327301669028463
C03	BRD-K21733600-001-02-6	5.0
C04	BRD-K21853356-001-04-4	9.086523769328489
C05	BRD-K21893543-001-02-8	4.999999999999999
C06	BRD-K21910317-001-02-4	4.999999999999999
C07	BRD-K22031190-001-04-6	4.999999999999999
C08	BRD-K22134346-001-04-1	5.0
C09	BRD-K22193694-001-04-5	4.999999999999999
C10	BRD-K22385716-001-01-7	4.999999999999999
C11		
C12		
C13	BRD-K22715231-001-02-9	5.0
C14	BRD-K22745370-003-01-5	5.0
C15		
C16		
C17	BRD-K22861715-001-03-4	4.999999999999999
C18	BRD-K22936972-003-04-6	4.999999999999999
C19	BRD-K22969690-001-02-6	5.0
C20	BRD-K23163214-001-01-4	4.999999999999999
C21	BRD-K23301018-001-02-6	5.0
C22	BRD-K23327891-001-02-3	4.999999999999999
C23	BRD-K23335153-300-01-7	4.999999999999999
C24	BRD-K23383398-001-01-6	5.0
D01	BRD-K23432132-001-01-2	4.999999999999999
D02	BRD-K23478508-001-03-7	1.2805106307608414
D03	BRD-K23541596-300-04-9	4.999999999999999
D04	BRD-K23566484-001-04-5	4.999999999999999
D05	BRD-K23583188-001-05-6	6.555164885208836
D06	BRD-K23704908-001-03-2	11.626130071469074
D07	BRD-K23913458-001-02-5	5.0
D08	BRD-K23922020-075-01-1	4.999999999999999
D09	BRD-K24023109-001-02-5	6.031103510526831
D10	BRD-K24084088-001-02-2	5.0
D11		
D12		
D13	BRD-K24132293-001-02-0	4.999999999999999
D14	BRD-K24201553-003-02-4	5.0
D15		
D16		
D17	BRD-K24240364-003-02-1	5.0
D18	BRD-K24396733-001-01-1	4.999999999999999
D19	BRD-K24443173-311-03-7	2.387258152844681
D20	BRD-K24526313-001-08-6	4.999999999999999
D21	BRD-K24556098-001-01-9	5.0
D22	BRD-K24616672-003-04-5	4.999999999999999
D23	BRD-K24689407-001-04-8	10.329316799154615
D24	BRD-K24925364-001-01-3	8.05
E01		
E02		
E03	BRD-K25064302-001-02-3	4.999999999999999
E04	BRD-K25140590-001-01-4	5.0
E05	BRD-K25224017-001-04-5	4.999999999999999
E06	BRD-K25280080-001-02-3	4.999999999999999
E07	BRD-K25394294-001-04-0	4.999999999999999
E08	BRD-K25408656-003-01-2	4.999999999999999
E09		
E10		
E11	BRD-K25433859-003-11-4	4.999999999999999
E12	BRD-K25649279-001-01-2	4.999999999999999
E13	BRD-K25741894-001-03-8	3.857171708787238
E14	BRD-K25811799-001-02-7	4.999999999999999
E15	BRD-K25875056-001-01-2	5.0
E16	BRD-K25906698-303-01-9	5.0
E17		
E18		
E19	BRD-K26005076-001-03-7	5.739135844541961
E20	BRD-K26140483-001-01-3	5.0
E21	BRD-K26160755-003-01-8	5.0
E22	BRD-K26373640-001-02-8	5.0
E23	BRD-K26376097-001-02-9	5.0
E24	BRD-K26383086-001-02-8	5.0
F01		
F02		
F03	BRD-K26429091-051-01-9	4.999999999999999
F04	BRD-K26521938-001-04-9	4.999999999999999
F05	BRD-K26548821-001-01-8	5.0
F06	BRD-K26573499-300-01-3	4.999999999999999
F07	BRD-K26739552-003-04-8	4.999999999999999
F08	BRD-K26807903-001-02-7	5.0
F09		
F10		
F11	BRD-K26954192-001-03-5	5.3140773842325615
F12	BRD-K26979635-001-01-1	4.999999999999999
F13	BRD-K26997899-001-01-4	5.0
F14	BRD-K27062708-001-04-1	4.999999999999999
F15	BRD-K27141178-001-01-0	5.0
F16	BRD-K27217864-001-05-8	5.1748504338853385
F17		
F18		
F19	BRD-K27265817-001-01-4	4.999999999999999
F20	BRD-K27305650-001-04-2	5.0
F21	BRD-K27316855-001-02-6	0.5
F22	BRD-K27335680-001-01-9	5.0
F23	BRD-K27351809-001-02-0	2.6991871937603427
F24	BRD-K27406233-001-05-1	5.773352054389596
G01	BRD-K27450477-001-03-9	9.013383504469841
G02	BRD-K27499107-001-02-6	0.49999999999999983
G03		
G04		
G05	BRD-K27529556-001-02-6	4.999999999999999
G06	BRD-K27710560-001-02-6	12.612420812915921
G07	BRD-K27737647-001-03-4	4.999999999999999
G08	BRD-K27853494-003-02-1	5.328599831530987
G09	BRD-K27871032-001-02-6	5.0
G10	BRD-K27911943-001-01-0	5.0
G11	BRD-K28115081-001-01-9	4.999999999999999
G12	BRD-K28137194-003-01-3	4.999999999999999
G13	BRD-K28143534-001-01-4	5.0
G14	BRD-K28167849-001-02-1	5.0
G15	BRD-K28183345-003-05-6	3.445992238660602
G16	BRD-K28210218-236-04-0	5.0
G17	BRD-K28307902-001-04-3	5.0
G18	BRD-K28453807-003-05-4	5.0
G19		
G20		
G21	BRD-K28494619-001-04-3	5.0
G22	BRD-K28542495-003-03-6	2.8912901503343664
