well_position	broad_sample	conc_mmol
A01	BRD-K86434577-001-01-4	4.9998365355410375
A02	BRD-K92518554-001-02-1	5.0107147610218385
A03	BRD-K70116395-001-01-5	4.994505208064319
A04	BRD-K38601916-001-01-7	4.998349266851934
A05	BRD-K97620396-001-01-4	5.277652762122145
A06	BRD-K72767220-001-01-4	5.00390946375467
A07	BRD-K03143744-001-01-9	5.012673000273943
A08	BRD-K53121121-001-02-5	5.025207976547634
A09	BRD-K47435423-001-01-5	5.0145772354160725
A10	BRD-K98431950-001-01-3	5.022359311658651
A11	BRD-K73748146-001-01-4	4.993055129154612
A12	BRD-K35095050-001-01-1	5.012902585380281
A13		
A14		
A15	BRD-K09295309-001-01-8	5.02018601918245
A16	BRD-K77547131-001-01-3	5.006826215283638
A17	BRD-K61711624-001-01-7	5.08903546936278
A18	BRD-K57079327-001-01-5	5.043191133406168
A19	BRD-K48408404-001-01-4	5.010216208179251
A20	BRD-K55478267-001-01-3	5.033694911301841
A21	BRD-K25328765-001-01-4	5.020326296689683
A22	BRD-K55218950-001-01-5	5.0397276999858995
A23	BRD-K19691332-001-01-7	5.135695063240731
A24	BRD-K47926785-001-01-5	5.047412213018448
B01	BRD-K46093892-001-02-3	5.007069636181668
B02	BRD-K48671182-001-01-5	5.02713326207728
B03	BRD-K63069046-001-02-6	5.0083740995162245
B04	BRD-K52435112-001-01-3	4.986947998259445
B05	BRD-K73080020-001-01-3	5.020145183502772
B06	BRD-K23002629-001-01-3	4.989629152591205
B07	BRD-K93311750-001-01-4	5.0478502954036
B08	BRD-K16602560-001-01-0	5.029138418261262
B09	BRD-K94634315-001-01-6	5.005313477441736
B10	BRD-K62566987-001-01-5	4.9929363819240455
B11	BRD-K09464310-001-01-7	5.009067356589831
B12	BRD-K12764160-001-01-6	4.994691234002399
B13		
B14		
B15	BRD-K02654447-001-01-6	5.03226105248446
B16	BRD-K05221385-001-01-5	5.0000697287656655
B17	BRD-K63157607-001-01-2	5.028595116547377
B18	BRD-K43628610-001-01-2	5.0231635179262115
