well_position	broad_sample	conc_mmol
A01	BRD-K18537363-001-01-5	4.897404003830757
A02	BRD-K35386853-001-01-3	5.103423305005163
A03	BRD-K27525788-001-01-6	5.015919293751695
A04	BRD-K32559936-001-01-9	5.039230041697583
A05	BRD-K62839271-001-01-1	5.147306910543806
A06	BRD-K95718241-001-01-5	5.064535036982319
A07	BRD-K74712058-001-01-5	5.119095432322157
A08	BRD-K57638192-001-01-0	5.314799754799579
A09	BRD-K58925245-001-01-7	5.176143026085941
A10	BRD-K01691627-001-01-1	5.019578456991443
A11	BRD-K23731136-001-01-3	5.1226865006146465
A12	BRD-K34799054-001-01-5	5.130361707681399
A13		
A14		
A15	BRD-K62561943-001-01-9	5.057881738970631
A16	BRD-K71397492-001-01-2	5.122111208845239
A17	BRD-K45714982-001-01-8	5.011715381604579
A18	BRD-K80391949-001-01-3	4.8099590590113195
A19	BRD-K73942053-001-01-4	4.911624822347883
A20	BRD-K47131467-001-01-7	5.011792330343932
A21	BRD-K79652816-001-01-1	5.09469530877412
A22	BRD-K71287386-001-01-4	5.111587497059298
A23	BRD-K92953840-001-01-6	5.019472041109618
A24	BRD-K29568987-001-01-3	4.984479477675527
B01	BRD-K57695422-001-01-2	5.015967522264623
B02	BRD-K91306567-001-01-9	5.149984447846636
B03	BRD-K55295918-001-01-4	4.964520450345954
B04	BRD-K49567165-001-01-5	4.526429910413812
B05	BRD-K20255967-001-01-0	5.020411142925082
B06	BRD-K61963347-001-01-0	4.983676832865358
B07	BRD-K09424864-001-01-1	4.969432094682316
B08	BRD-K36109933-001-01-2	4.914896983350981
B09	BRD-K63164901-001-01-1	4.949325989197521
B10	BRD-K62337120-001-01-9	5.048520943714155
B11	BRD-K31494307-001-01-1	5.146663877351029
B12	BRD-K77608736-001-01-2	4.99405360292458
B13		
B14		
B15	BRD-K60841303-001-01-1	5.0014292040552
B16	BRD-K26425257-001-01-2	5.026156188807247
B17	BRD-K86219348-001-01-7	4.572315469473502
B18	BRD-K83549059-001-01-9	4.933074052139011
B19	BRD-K41916320-001-03-0	3.2087693334123597
B20	BRD-K66559265-001-01-9	4.880517507267019
B21	BRD-K11171096-001-01-4	5.173354291131166
B22	BRD-K16741885-001-01-4	5.083235325185298
B23	BRD-K56322026-001-01-4	5.122587510443299
B24	BRD-K65752719-001-01-3	5.09659496849038
C01	BRD-K75403700-001-01-2	5.004500306933083
C02	BRD-K39114105-001-01-1	5.132055100742591
C03	BRD-K09426613-001-01-0	4.836992252767638
C04	BRD-K96039110-001-01-3	5.06132139788464
C05	BRD-K82909508-001-01-3	4.995298568326925
C06	BRD-K02112931-001-01-8	5.173203766937721
C07	BRD-K78300612-001-01-4	4.957618572153709
C08	BRD-K50325283-001-01-1	5.026232221363391
C09	BRD-K25354424-001-01-3	5.02402693751188
C10	BRD-K40907206-001-01-3	5.0123432090044
C11		
C12		
C13	BRD-K06688693-001-01-1	5.157547763997259
C14	BRD-K37398676-001-01-1	4.9098952023360445
C15		
C16		
C17	BRD-K10893406-001-01-9	4.980173773968422
C18	BRD-K71532462-001-01-0	4.926852855617584
C19	BRD-K00434250-001-01-1	4.922385699261618
C20	BRD-K39696539-001-01-3	4.935228853429081
C21	BRD-K93459801-001-01-0	5.127146157174173
C22	BRD-K70377370-001-01-2	5.092114969802853
C23	BRD-K15530151-001-01-9	4.888482525637785
C24	BRD-K04847305-001-01-5	4.757663979177053
D01	BRD-K34829873-001-01-9	5.091117190067722
D02	BRD-K58663279-001-01-3	5.209978468762136
D03	BRD-K76581294-001-01-6	5.030653353509801
D04	BRD-K86171512-001-01-0	5.140361473746557
D05	BRD-K15973523-001-01-2	5.179151538047673
D06	BRD-K27718415-001-01-8	5.184611791380312
D07	BRD-K99219003-001-01-8	4.945938317403199
D08	BRD-K85957472-001-01-1	5.143843206891091
D09	BRD-K89597637-001-01-3	5.027811813468076
D10	BRD-K23871470-001-01-1	5.027261051824531
D11		
D12		
D13	BRD-K66877406-001-01-5	4.942351854594516
D14	BRD-K25560306-001-01-8	5.047648405482077
D15		
D16		
D17	BRD-K26835110-001-01-9	5.131526676960568
D18	BRD-K06199632-001-01-3	4.884637702926666
D19	BRD-K13000360-001-01-2	4.821065352335585
D20	BRD-K75961033-001-01-7	5.3621312102574885
D21	BRD-K20848134-001-01-0	4.710530455593287
D22	BRD-K23373611-001-01-8	4.886616906639998
D23	BRD-K26427778-001-01-8	4.935589477710749
D24	BRD-K07613753-001-01-5	4.987854916627574
E01		
E02		
E03	BRD-K22778679-001-01-8	5.15373878454112
E04	BRD-K66633149-001-01-4	5.043434937300411
E05	BRD-K15389391-001-01-0	2.517184435829653
E06	BRD-K63946052-001-01-8	5.007353880196429
E07	BRD-K61190439-001-01-9	5.044315767409607
E08	BRD-K81799166-001-01-2	3.982402490306113
E09		
E10		
E11	BRD-K11556486-001-01-4	1.9421709700794947
E12	BRD-K11296387-001-01-7	4.894817521601927
E13	BRD-K45713168-001-01-6	4.9226914015654675
E14	BRD-K80342168-001-01-0	5.00014016912985
E15	BRD-K32231531-001-01-4	5.046270951403986
E16	BRD-K95284932-001-01-2	5.0244491914801825
E17		
E18		
E19	BRD-K26545050-001-01-6	5.175339093247731
E20	BRD-K08105592-001-01-6	5.063429480663467
E21	BRD-K99048249-001-01-5	5.071178138859694
E22	BRD-K44818533-001-01-2	5.104791481314141
E23	BRD-K87885716-001-01-8	5.009363120942457
E24	BRD-K41017712-001-01-7	5.004325119059027
F01		
F02		
F03	BRD-K08706435-001-01-2	4.759995830530441
F04	BRD-K95196306-001-01-6	5.057503421788356
F05	BRD-K88384060-001-01-3	5.000377468536456
F06	BRD-K09796735-001-01-9	4.898548749508648
F07	BRD-K91244634-001-01-1	5.004987836209255
F08	BRD-K44480417-001-01-2	4.571026205919656
F09		
F10		
F11	BRD-K99643744-001-01-3	5.274053435051307
F12	BRD-K96612763-001-01-7	5.1928204190298874
F13	BRD-K63201679-001-01-1	5.252291223337299
F14	BRD-K03706963-001-01-7	5.043396174634636
F15	BRD-K56712828-001-01-6	5.0685630311116014
F16	BRD-K13060097-001-01-6	5.022866906968617
F17		
F18		
F19	BRD-K43874853-001-01-8	4.8896306551849475
F20	BRD-K42048463-001-01-2	4.565197755579044
F21	BRD-K47811236-001-01-4	4.753575114836979
F22	BRD-K24282403-001-01-2	5.185635333807909
F23	BRD-K27452198-001-01-7	4.9341887167943295
F24	BRD-K99349510-001-01-9	4.856901227613946
G01	BRD-K22324798-001-01-7	4.876666087924253
G02	BRD-K29385065-001-01-7	4.879466333177404
G03		
G04		
G05	BRD-K65968856-001-01-8	5.0307374477065725
G06	BRD-K94224651-001-01-8	5.060119655894579
G07	BRD-K22825029-001-01-4	4.984465339250878
G08	BRD-K35979672-001-01-4	5.025417687380593
G09	BRD-K77579348-001-01-5	5.245896515962546
G10	BRD-K84733605-001-01-7	5.005669656206425
G11	BRD-K44015831-001-01-4	5.137708310287527
G12	BRD-K50342369-001-01-3	4.891293135827483
G13	BRD-K38963656-001-01-5	4.93995391617141
G14	BRD-K89502948-001-01-7	5.0036616455628895
G15	BRD-K81392055-001-01-0	4.947631422658948
G16	BRD-K64900763-001-01-4	5.134648708245363
G17	BRD-K56215045-001-01-7	4.54364074143508
G18	BRD-K90074540-001-01-6	5.01065204915015
G19		
G20		
G21	BRD-K66771647-001-01-9	5.052262709442653
G22	BRD-K84306552-001-01-5	4.9860469018780496
G23	BRD-K34347561-001-01-9	5.051502765821559
G24	BRD-K94988014-001-01-0	5.016372494770416
H01	BRD-K74318028-001-01-8	5.2650188372696896
H02	BRD-K05448102-001-01-6	4.853356377791866
H03		
H04		
H05	BRD-K46533463-001-01-9	4.94607483772165
H06	BRD-K61873274-001-01-8	4.9301155365620115
H07	BRD-K76749891-001-01-6	5.06872677808835
H08	BRD-K18244645-001-01-8	4.946834719328044
H09	BRD-K81332205-001-01-5	4.931333577903519
H10	BRD-K09276254-001-01-3	4.937145265289346
H11	BRD-K79780092-001-01-5	4.991965960721747
H12	BRD-K57659231-001-01-9	4.935014974367156
H13	BRD-K72095065-001-01-8	4.906269956436778
H14	BRD-K08963966-001-01-6	4.6610639014185145
H15	BRD-K87748653-001-01-3	5.007206531810934
H16	BRD-K40455893-001-01-1	5.133728975318297
H17	BRD-K12415987-001-01-6	5.196278999580863
H18	BRD-K21787371-001-01-1	5.000629193917861
H19		
H20		
H21	BRD-K29368169-001-01-8	5.065516517603865
H22	BRD-K45892018-001-01-0	4.8398244701824975
H23	BRD-K44511222-001-01-9	4.9388054636499925
H24	BRD-K80094052-001-01-6	4.927778491348721
I01	BRD-K92604082-001-01-2	4.879526082520816
I02	BRD-K31487013-001-01-0	5.04658513799317
I03	BRD-K05051567-001-01-6	5.00945422497238
I04	BRD-K78778476-001-01-6	5.046411291533516
I05		
I06		
I07	BRD-K97481912-001-01-6	5.073739668384964
I08	BRD-K39629581-001-01-1	4.936349681789524
I09	BRD-K84749975-001-01-5	5.103356522709678
I10	BRD-K83311395-001-01-7	5.009043979168842
I11	BRD-K84691165-001-01-9	4.920184643291631
I12	BRD-K04570341-001-01-9	4.999447507378687
I13	BRD-K37847786-001-01-4	5.017203180452854
I14	BRD-K84104483-001-01-8	5.1610789958788335
I15	BRD-K77434972-001-01-6	4.910013856273939
I16	BRD-K20914452-001-01-4	5.063707653194801
I17	BRD-K59039774-001-01-5	4.975215437662399
I18	BRD-K26301430-001-01-5	5.051187549259348
I19	BRD-K42696220-001-01-2	5.107483153211318
I20	BRD-K80174954-001-01-5	5.107483153211318
I21		
I22		
I23	BRD-K70433089-001-01-5	5.003017250464071
I24	BRD-K17139610-001-01-2	5.020078537579664
J01	BRD-K34922409-001-01-5	4.828450719753907
J02	BRD-K91379182-001-01-1	4.553798858858886
J03	BRD-K50078508-001-01-5	5.019564168143055
J04	BRD-K71204485-001-01-9	4.988575789604491
J05		
J06		
J07	BRD-K28663733-001-01-0	5.139743386472026
J08	BRD-K90630790-001-01-2	5.089176671589819
J09	BRD-K24167577-001-01-5	5.096008006935048
J10	BRD-K05519665-001-01-3	5.0234607248741305
J11	BRD-K63832750-001-01-5	4.926727636125184
J12	BRD-K41652832-001-01-6	5.379799726789084
J13	BRD-K58194762-001-01-3	4.671032838825159
J14	BRD-K61076106-001-01-2	4.909611502166672
J15	BRD-K84596673-001-01-5	5.046788004723991
J16	BRD-K28076694-001-01-2	5.131647920179899
J17	BRD-K56962853-001-01-5	5.097178837343216
J18	BRD-K62590938-001-01-5	4.976790829298278
J19	BRD-K98676361-001-01-6	4.84347066243269
J20	BRD-K16561564-001-01-4	5.051459101018187
J21		
J22		
J23	BRD-K56079297-001-01-2	4.815439865222789
J24	BRD-K99224100-001-01-0	5.024173119881311
K01	BRD-K88318034-001-01-4	4.965309853214637
K02	BRD-K80211979-001-01-6	4.980716557648226
K03	BRD-K54457715-001-01-6	4.992160321189609
K04	BRD-K19294102-001-01-8	4.883830350139029
