well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K40782193-003-01-1	5.0	DMSO
A02	BRD-K40887525-001-02-9	5.0	DMSO
A03	BRD-K40901640-001-01-0	5.0	DMSO
A04	BRD-K40905133-001-02-3	5.0	DMSO
A05	BRD-K40965114-001-01-2	5.0	DMSO
A06	BRD-K40990712-001-02-4	5.0	DMSO
A07	BRD-K41143549-003-01-6	5.0	DMSO
A08	BRD-K41337261-001-01-4	5.0	DMSO
A09	BRD-K41406082-001-04-8	5.0	DMSO
A10	BRD-K41431477-001-05-6	5.0	DMSO
A11	BRD-K41445866-001-03-0	3.00772703120679	DMSO
A12	BRD-K41524689-001-05-2	6.6153947114947	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K41564320-001-01-2	5.0	DMSO
A16	BRD-K41567364-001-01-2	5.0	DMSO
A17	BRD-K41567533-001-02-6	5.0	DMSO
A18	BRD-K41603276-001-02-0	5.0	DMSO
A19	BRD-K41707108-001-02-3	5.0	DMSO
A20	BRD-K41713976-001-02-0	6.2263030020892	DMSO
A21	BRD-K41762421-001-02-8	5.0	DMSO
A22	BRD-K41853443-001-01-1	5.0	DMSO
A23	BRD-K41868777-003-02-9	5.0	DMSO
A24	BRD-K41869275-001-01-0	5.0	DMSO
B01	BRD-K41876534-001-02-0	5.0	DMSO
B02	BRD-K41996876-001-05-5	13.572644757956901	DMSO
B03	BRD-K42098891-003-03-1	3.33513786526096	DMSO
B04	BRD-K42221274-001-01-4	5.0	DMSO
B05	BRD-K42348709-003-04-0	5.0	DMSO
B06	BRD-K42352790-001-03-8	0.5	DMSO
B07	BRD-K42452249-001-01-7	5.0	DMSO
B08	BRD-K42500029-001-01-9	5.0	DMSO
B09	BRD-K42596464-048-03-6	2.2860085668628196	DMSO
B10	BRD-K42635745-001-02-4	2.9624099797667403	DMSO
B11	BRD-K42663584-001-01-2	5.0	DMSO
B12	BRD-K42679050-001-01-3	5.0	DMSO
B13			DMSO
B14			DMSO
B15	BRD-K42693031-001-01-8	5.0	DMSO
B16	BRD-K42748308-300-01-2	5.0	DMSO
B17	BRD-K42859542-001-01-7	5.0	DMSO
B18	BRD-K43068349-001-01-9	5.0	DMSO
B19	BRD-K43149758-001-04-5	3.14233093709651	DMSO
B20	BRD-K43224838-001-02-4	5.0	DMSO
B21	BRD-K43245338-001-02-4	6.53675365569256	DMSO
B22	BRD-K43290182-001-01-9	5.0	DMSO
B23	BRD-K43330982-001-01-5	5.0	DMSO
B24	BRD-K43389675-003-02-7	1.77311000658178	DMSO
C01	BRD-K43405658-001-01-8	5.0	DMSO
C02	BRD-K43457670-001-04-7	5.0	DMSO
C03	BRD-K43468059-001-02-9	5.0	DMSO
C04	BRD-K43714461-001-02-8	5.0	DMSO
C05	BRD-K43736954-001-03-3	2.77435591801468	DMSO
C06	BRD-K43744935-048-01-6	5.0	DMSO
C07	BRD-K43796186-001-01-1	5.0	DMSO
C08	BRD-K43860855-065-03-6	2.67975781956681	DMSO
C09	BRD-K44067360-001-06-3	8.88952389010049	DMSO
C10	BRD-K44084986-001-03-9	10.1077060989575	DMSO
C11			DMSO
C12			DMSO
C13	BRD-K44204252-001-02-2	5.0	DMSO
C14	BRD-K44273375-001-04-5	3.2529911741795297	DMSO
C15			DMSO
C16			DMSO
C17	BRD-K44309363-003-01-3	5.0	DMSO
C18	BRD-K44849676-001-03-0	6.63305494313296	DMSO
C19	BRD-K44876623-001-01-1	5.0	DMSO
C20	BRD-K44899736-003-02-1	5.0	DMSO
C21	BRD-K44993696-001-05-7	5.0	DMSO
C22	BRD-K45033733-001-02-3	5.0	DMSO
C23	BRD-K45042519-001-01-6	5.0	DMSO
C24	BRD-K45068323-003-01-3	5.0	DMSO
D01	BRD-K45071273-003-04-1	5.0	DMSO
D02	BRD-K45117373-001-01-1	5.0	DMSO
D03	BRD-K45158365-001-02-3	5.0	DMSO
D04	BRD-K45296539-003-01-0	5.0	DMSO
D05	BRD-K45330754-001-04-3	5.0	DMSO
D06	BRD-K45401373-001-05-0	5.474049153282841	DMSO
D07	BRD-K45435259-001-01-6	5.0	DMSO
D08	BRD-K45437867-005-01-7	5.0	DMSO
D09	BRD-K45479396-001-01-8	5.0	DMSO
D10	BRD-K45535217-001-02-2	5.0	DMSO
D11			DMSO
D12			DMSO
D13	BRD-K45542189-048-04-9	5.0	DMSO
D14	BRD-K45662124-001-01-8	5.0	DMSO
D15			DMSO
D16			DMSO
D17	BRD-K45861246-001-04-3	5.0	DMSO
D18	BRD-K45978015-001-02-8	5.0	DMSO
D19	BRD-K46018455-001-06-0	6.90952447547036	DMSO
D20	BRD-K46137903-001-03-3	2.0467898618568303	DMSO
D21	BRD-K46142322-003-01-6	5.0	DMSO
D22	BRD-K46211610-003-05-1	5.08448843589035	DMSO
D23	BRD-K46317332-003-04-6	5.0	DMSO
D24	BRD-K46384212-001-01-1	5.0	DMSO
E01			DMSO
E02			DMSO
E03	BRD-K46424862-001-04-2	5.67637660079497	DMSO
E04	BRD-K46435977-003-01-2	5.0	DMSO
E05	BRD-K46441700-001-01-8	5.0	DMSO
E06	BRD-K46469693-001-01-8	5.0	DMSO
E07	BRD-K46523383-003-04-7	3.0315696752327903	DMSO
E08	BRD-K46556543-237-03-0	2.5152834913141002	DMSO
E09			DMSO
E10			DMSO
E11	BRD-K46585355-001-05-1	3.33041500168119	DMSO
E12	BRD-K46652470-001-02-6	3.01697859007177	DMSO
E13	BRD-K46766488-003-01-2	5.0	DMSO
E14	BRD-K46862739-001-03-6	4.419425389846349	DMSO
E15	BRD-K46937689-001-05-1	5.31276852724425	DMSO
E16	BRD-K47105409-001-05-3	8.49459876034583	DMSO
E17			DMSO
E18			DMSO
E19	BRD-K47114202-001-06-2	2.8223973714222996	DMSO
E20	BRD-K47150025-001-01-2	5.0	DMSO
E21	BRD-K47192521-001-02-1	0.5	DMSO
E22	BRD-K47207162-312-02-2	2.45001515824378	DMSO
E23	BRD-K47278471-003-04-0	5.0	DMSO
E24	BRD-K47323024-003-04-6	5.0	DMSO
F01			DMSO
F02			DMSO
F03	BRD-K47328134-001-02-0	5.0	DMSO
F04	BRD-K47337578-034-01-7	5.0	DMSO
F05	BRD-K47407372-001-04-9	5.0	DMSO
F06	BRD-K47467075-001-02-7	5.0	DMSO
F07	BRD-K47598052-001-04-2	8.88555392329905	DMSO
F08	BRD-K47608922-001-02-1	5.0	DMSO
F09			DMSO
F10			DMSO
F11	BRD-K47631482-003-02-1	5.0	DMSO
F12	BRD-K47635719-001-03-9	2.3015079264512996	DMSO
F13	BRD-K47639036-003-03-3	2.3368824501857297	DMSO
F14	BRD-K47659338-003-01-0	5.0	DMSO
F15	BRD-K47693913-001-02-4	2.87883744713447	DMSO
F16	BRD-K47717570-304-01-5	5.0	DMSO
F17			DMSO
F18			DMSO
F19	BRD-K47724892-001-02-2	5.0	DMSO
F20	BRD-K47814830-001-02-6	5.0	DMSO
F21	BRD-K47869605-001-04-9	5.0	DMSO
F22	BRD-K47895166-001-02-9	5.0	DMSO
F23	BRD-K47936004-001-01-9	5.0	DMSO
F24	BRD-K47943470-001-02-8	5.0	DMSO
G01	BRD-K47947160-001-02-4	5.0	DMSO
G02	BRD-K48059230-003-01-1	5.0	DMSO
G03			DMSO
G04			DMSO
G05	BRD-K48168960-001-05-1	5.8743327492288495	DMSO
G06	BRD-K48213854-001-02-1	5.0	DMSO
G07	BRD-K48300629-001-03-8	5.0	DMSO
G08	BRD-K48311056-003-01-7	5.0	DMSO
G09	BRD-K48629186-001-02-7	5.0	DMSO
G10	BRD-K48684885-001-01-8	5.0	DMSO
G11	BRD-K48692744-001-01-2	5.0	DMSO
G12	BRD-K48722258-300-04-5	5.0	DMSO
