well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02			DMSO
A03	BRD-A11055580-001-05-5	5.0	DMSO
A04	BRD-A26173532-001-07-4	5.0	DMSO
A05	BRD-K97432641-001-05-8	5.0	DMSO
A06	BRD-K00732328-001-05-7	5.0	DMSO
A07	BRD-K93162616-001-05-6	5.0	DMSO
A08	BRD-K70431906-001-05-1	5.0	DMSO
A09	BRD-K99873259-001-05-4	5.0	DMSO
A10	BRD-K09926629-001-05-2	5.0	DMSO
A11	BRD-K44571113-001-05-6	5.0	DMSO
A12	BRD-A60400887-001-05-3	5.0	DMSO
A13	BRD-K64657423-001-05-3	5.0	DMSO
A14	BRD-K68596131-001-05-2	5.0	DMSO
A15	BRD-K82043383-001-05-2	5.0	DMSO
A16	BRD-A24742577-001-05-8	5.0	DMSO
A17	BRD-K79505743-001-05-0	5.0	DMSO
A18	BRD-A89681034-001-05-7	5.0	DMSO
A19	BRD-A06071649-001-06-6	5.0	DMSO
A20	BRD-A11153536-001-05-3	5.0	DMSO
A21	BRD-K21590915-001-11-1	5.0	DMSO
A22	BRD-K56761626-001-05-8	5.0	DMSO
A23			DMSO
A24			DMSO
B01			DMSO
B02			DMSO
B03	BRD-K73022080-001-05-3	5.0	DMSO
B04	BRD-A49460643-001-05-8	5.0	DMSO
B05	BRD-K84138809-001-04-7	5.0	DMSO
B06	BRD-A74325877-001-05-8	5.0	DMSO
B07	BRD-K85315926-001-05-5	5.0	DMSO
B08	BRD-A84879977-001-04-4	5.0	DMSO
B09	BRD-K28207794-001-06-1	5.0	DMSO
B10	BRD-A90436752-001-05-3	5.0	DMSO
B11	BRD-K97245222-001-05-1	5.0	DMSO
B12	BRD-K00485168-001-05-5	5.0	DMSO
B13	BRD-K55178632-034-05-9	5.0	DMSO
B14	BRD-A64301509-001-05-7	5.0	DMSO
B15	BRD-K68402828-001-05-1	5.0	DMSO
B16	BRD-K25107744-001-05-9	5.0	DMSO
B17	BRD-K88728438-001-05-7	5.0	DMSO
B18	BRD-A00983620-001-05-3	5.0	DMSO
B19	BRD-K18481974-001-05-8	5.0	DMSO
B20	BRD-K69409905-001-05-1	5.0	DMSO
B21	BRD-K60177480-001-05-6	5.0	DMSO
B22	BRD-A39201768-001-05-7	5.0	DMSO
B23			DMSO
B24			DMSO
C01			DMSO
C02			DMSO
C03	BRD-K34529943-001-05-2	5.0	DMSO
