well_position	broad_sample	conc_mmol
A01	BRD-K22494201-001-01-9	5.017958466189953
A02	BRD-K32322802-001-01-3	5.031264754647059
A03	BRD-K19933506-001-01-3	5.021068802640123
A04	BRD-K05050883-001-01-5	5.02517297798291
A05	BRD-K18767302-001-01-2	5.009725485501512
A06	BRD-K27343142-001-01-5	5.005442978371347
A07	BRD-K02058097-001-01-3	5.008208640729242
A08	BRD-K76358141-001-01-4	5.001199952107669
A09	BRD-K70166659-001-01-1	5.028940223878769
A10	BRD-K08078340-001-01-0	4.9827651268183875
A11	BRD-K66033125-001-01-5	5.000224077876081
A12	BRD-K92860459-001-01-5	5.026341072019865
A13		
A14		
A15	BRD-K07625901-001-01-0	5.01892273917625
A16	BRD-K51322285-001-01-5	4.981821166878634
A17	BRD-K68445037-001-01-6	5.009842478174856
A18	BRD-K44029733-001-01-4	4.862464020599826
A19	BRD-K76624532-001-01-6	5.019211152209102
A20	BRD-K52831370-001-01-0	5.048233311231075
A21	BRD-K70861166-001-01-3	5.065761736120656
A22	BRD-K85930698-001-01-6	5.086638265821153
A23	BRD-K76665741-001-01-6	5.028538515925551
A24	BRD-K16782389-001-01-9	4.953531934934353
B01	BRD-K51164971-001-01-0	4.990554297107066
B02	BRD-K26125024-001-01-0	5.009405907052362
B03	BRD-K94708051-001-01-6	5.020887836429999
B04	BRD-K02189204-001-01-6	5.055150873755395
B05	BRD-K01202062-001-01-9	5.0290643406406685
B06	BRD-K43108514-001-01-2	5.034361178663219
B07	BRD-K89491100-001-01-7	5.039501780206411
B08	BRD-K43939579-001-01-2	5.020725699526591
B09	BRD-K40358966-001-01-9	4.98349809184034
B10	BRD-K98668154-001-01-4	5.006894796496865
B11	BRD-K19405573-001-01-0	4.951557367648944
B12	BRD-K58439833-001-01-7	4.955832491016336
B13		
B14		
B15	BRD-K88967430-001-01-8	5.031733340920858
B16	BRD-K91758467-001-01-2	4.995366547817047
B17	BRD-K89412540-001-01-1	5.009206597642058
B18	BRD-K06217925-001-01-9	4.987590702620394
B19	BRD-K38290133-001-01-6	4.976146790758873
B20	BRD-K02222982-001-01-3	5.058292305087529
B21	BRD-K96044609-001-01-1	5.043963897470811
B22	BRD-K71540580-001-01-0	5.02516619095168
B23	BRD-K74428993-001-01-6	5.037844479516179
B24	BRD-K70617194-001-01-5	5.0184140691424375
C01	BRD-K50171542-001-01-6	5.03820663127809
C02	BRD-K84391460-001-01-8	5.017045868227429
C03	BRD-K50120786-001-01-8	4.919374287026767
C04	BRD-K38210246-001-01-8	4.984242518560308
C05	BRD-K33610498-001-01-9	5.028138355259351
C06	BRD-K02322717-001-01-3	5.038170934288498
C07	BRD-K07323881-001-01-6	5.009839628483998
C08	BRD-K80806285-001-01-2	4.927368931126375
C09	BRD-K03077507-001-01-6	4.993419468757928
C10	BRD-K08247301-001-01-8	5.029706537781249
C11		
C12		
C13	BRD-K79490177-001-01-9	5.052195042339539
C14	BRD-K58514045-001-01-1	5.01728732185392
C15		
C16		
C17	BRD-K07572455-001-01-4	5.060065038402791
C18	BRD-K97048125-001-01-6	5.031683057107672
C19	BRD-K17139153-001-01-5	5.022852574091115
C20	BRD-K06714535-001-01-7	5.023849858809488
