well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02			DMSO
A03	BRD-K46948679-001-05-0	5.0	DMSO
A04	BRD-K62295866-001-05-8	5.0	DMSO
A05	BRD-K84324635-001-05-0	5.0	DMSO
A06	BRD-K57265891-001-05-7	5.0	DMSO
A07	BRD-K62741448-001-05-8	5.0	DMSO
A08	BRD-A63907577-001-05-9	5.0	DMSO
A09	BRD-K75358000-001-05-6	5.0	DMSO
A10	BRD-A87550446-001-06-6	5.0	DMSO
A11	BRD-K57021862-001-05-9	5.0	DMSO
A12	BRD-K44491796-001-05-1	5.0	DMSO
A13	BRD-K14553310-001-05-1	5.0	DMSO
A14	BRD-K47441643-001-06-6	5.0	DMSO
A15	BRD-K20214117-001-05-7	5.0	DMSO
A16	BRD-K27882438-001-05-6	5.0	DMSO
A17	BRD-K40926874-001-06-3	5.0	DMSO
A18	BRD-K92063534-001-06-4	5.0	DMSO
A19	BRD-K96409967-001-05-3	5.0	DMSO
A20	BRD-K15994694-001-05-2	5.0	DMSO
A21	BRD-K08746927-001-05-4	5.0	DMSO
A22	BRD-K40605750-001-06-2	5.0	DMSO
A23			DMSO
A24			DMSO
B01			DMSO
B02			DMSO
B03	BRD-K61842238-001-07-5	5.0	DMSO
B04	BRD-K43526091-001-05-7	5.0	DMSO
B05	BRD-K22375845-001-05-3	5.0	DMSO
B06	BRD-K78718737-001-05-8	5.0	DMSO
B07	BRD-K08490863-001-05-5	5.0	DMSO
B08	BRD-K58094029-001-05-5	5.0	DMSO
B09	BRD-K70590086-001-05-6	5.0	DMSO
B10	BRD-K15352280-001-05-3	5.0	DMSO
B11	BRD-A57520205-001-05-8	5.0	DMSO
B12	BRD-K05680206-001-06-8	5.0	DMSO
B13	BRD-K35530300-001-05-6	5.0	DMSO
B14	BRD-K47727977-001-05-6	5.0	DMSO
B15	BRD-K29738272-001-05-7	5.0	DMSO
B16	BRD-A16458085-001-06-4	5.0	DMSO
B17	BRD-K29289435-001-05-5	5.0	DMSO
B18	BRD-A01392766-003-05-6	5.0	DMSO
B19	BRD-K67341671-001-05-0	5.0	DMSO
B20	BRD-K35352645-001-04-2	5.0	DMSO
B21	BRD-K14971326-001-05-7	5.0	DMSO
B22	BRD-K02980127-001-04-6	5.0	DMSO
B23			DMSO
B24			DMSO
C01			DMSO
C02			DMSO
C03	BRD-K34212649-001-05-2	5.0	DMSO
