well_position	broad_sample	mmoles_per_liter	solvent
A01	BRD-K35881842-001-01-7	5.189290801637769	DMSO
A02	BRD-K29493594-001-01-9	4.62721225747788	DMSO
A03	BRD-K36462169-001-01-0	5.0297364523017905	DMSO
A04	BRD-K00381581-001-01-4	5.2325404949498395	DMSO
A05	BRD-K77316712-001-01-0	5.02977631490712	DMSO
A06	BRD-K10558099-001-01-0	5.35453452725051	DMSO
A07	BRD-K68774060-001-01-9	4.65043878877855	DMSO
A08	BRD-K57061210-001-01-3	5.0030696768442695	DMSO
A09	BRD-K18246949-001-01-6	5.1356400253203205	DMSO
A10	BRD-K49480198-001-01-2	5.00065404160824	DMSO
A11	BRD-K57962577-001-01-9	4.760205055775599	DMSO
A12	BRD-K92137277-001-01-8	4.59671296173925	DMSO
A13			DMSO
A14			DMSO
A15	BRD-K42733037-001-01-6	5.03078381954154	DMSO
A16	BRD-K20721504-001-01-1	5.24733017540264	DMSO
A17	BRD-K96586144-001-01-3	4.77198379480734	DMSO
A18	BRD-K67433929-001-01-4	5.292666569257441	DMSO
A19	BRD-K93894185-001-01-4	4.65393820375738	DMSO
A20	BRD-K03416270-001-01-1	5.3527538468137905	DMSO
A21	BRD-K37766746-001-01-5	5.06726550228205	DMSO
A22	BRD-K25164076-001-01-7	5.05264739750086	DMSO
A23	BRD-K76636716-001-01-8	5.0054943216371	DMSO
A24	BRD-K71387353-001-01-1	5.0386528033015905	DMSO
B01	BRD-K61694653-001-01-9	5.02489902701538	DMSO
B02	BRD-K97523213-001-01-1	5.45727837305071	DMSO
B03	BRD-K16636143-001-01-4	4.64526234023728	DMSO
B04	BRD-K36777393-001-01-9	5.0232862505602	DMSO
B05	BRD-K55100062-001-01-0	5.005125914377571	DMSO
B06	BRD-K18440865-001-01-5	5.475503601367509	DMSO
B07	BRD-K45336346-001-01-1	5.04385650834203	DMSO
B08	BRD-K44993940-001-01-0	4.95394819268531	DMSO
B09	BRD-K08373870-001-01-3	5.2523101712459805	DMSO
B10	BRD-K05733208-001-01-4	4.65805920618835	DMSO
B11	BRD-K69705756-001-01-1	4.60687174238408	DMSO
